Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21539	-	0	0	0	0	0	0	10	72	0	0	0	0	0	0	0	0	0	0	75	217	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	16	0	6	0	0	0	0	0	72	0	0	1	0	0	0	0	1	0	0	49	789	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	13	0	28	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	48	156	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	12	0	26	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	128	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	12	0	14	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	58	131	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	14	0	14	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	81	178	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	13	0	8	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	40	97	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	2	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	4	0	13	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	60	124	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	3	0	14	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	72	202	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	3	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	44	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	48	86	0	0	0	2	0	0
