"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationDispenseObligations","EHDSMedicationDispenseObligations","","","",0,*,"","","","null {[]} {[]}
","Medication dispense model obligations","Obligations for the logical model for medication dispense for dispensing/pharmacy systems (producer) and prescribing systems or prescription repositories(consumer).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationDispenseObligations.header","EHDSMedicationDispenseObligations.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationDispenseObligations.header.subject","EHDSMedicationDispenseObligations.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationDispenseObligations.header.identifier","EHDSMedicationDispenseObligations.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationDispenseObligations.header.author[x]","EHDSMedicationDispenseObligations.header.author[x]","","","",1,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.","The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSMedicationDispenseObligations.header.date","EHDSMedicationDispenseObligations.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of issuing the dispense record","Date and time of issuing the dispense record","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSMedicationDispenseObligations.header.status","EHDSMedicationDispenseObligations.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The status of the dispense, e.g. completed, declined, entered-in-error","The status of the dispense, e.g. completed, declined, entered-in-error","","","","","","","","","",,"preferred","HL7 MedicationDispense Status Codes","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationDispenseObligations.header.source","EHDSMedicationDispenseObligations.header.source","","","",0,0,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSMedicationDispenseObligations.header.language","EHDSMedicationDispenseObligations.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationDispenseObligations.dispenseLocation","EHDSMedicationDispenseObligations.dispenseLocation","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}
","Location of dispense","Location of dispense","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dispenseLocation",0,1,"",""
