Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	26393	-	0	0	0	0	0	0	11	64	0	0	0	0	0	0	0	1	0	0	105	136	0	0	0	3	0	1
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	6	0	8	0	0	0	0	0	60	0	0	1	0	0	0	0	0	0	0	53	819	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	3	0	43	1	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	49	147	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	3	0	49	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	45	128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	3	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	57	124	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	5	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	87	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	7	0	23	0	0	0	0	0	61	0	0	0	0	0	0	0	1	0	0	73	216	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	5	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	95	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	5	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	2	0	33	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	67	120	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	4	0	21	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	92	192	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	3	0	18	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	111	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	47	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6174	4	0	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	58	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	3	0	18	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	61	119	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	6	0	61	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	250	353	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9560	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	116	142	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	10858	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	109	133	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosageObligations.json	6285	6	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	78	181	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	5	0	11	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	122	158	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	3	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6275	3	0	7	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	51	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3164	2	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	32	71	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	25918	5	0	22	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	219	268	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	19143	5	0	15	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	146	192	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5845	3	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	53	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisationObligations.json	6460	4	0	21	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	87	205	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4486	3	0	47	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	84	272	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	16328	4	0	16	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	157	198	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3960	3	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17514	4	0	7	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	149	174	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4317	3	0	7	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	54	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministrationObligations.json	4002	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	46	99	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7485	2	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	71	104	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispenseObligations.json	9419	4	0	8	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	76	132	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationObligations.json	5205	3	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	68	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17571	4	0	9	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	187	150	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescriptionObligations.json	18254	4	0	11	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	130	212	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationUse.json	5948	3	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	64	140	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSMedicationUseObligations.json	4597	3	0	3	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	55	133	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	29084	7	0	1	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	262	327	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSObservationObligations.json	7927	3	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	108	281	0	0	0	3	0	0
