"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationPrescriptionObligations","EHDSMedicationPrescriptionObligations","","","",0,*,"","","","null {[]} {[]}
","Medication prescription model obligations","Obligations for the logical model for medication prescription body for prescribing systems.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationPrescriptionObligations.header","EHDSMedicationPrescriptionObligations.header","","","",1,1,"","","","Base {[]} {[]}
","Prescription header","Prescription header","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationPrescriptionObligations.header.subject","EHDSMedicationPrescriptionObligations.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","The person for whom the medication is prescribed/ordered. [Used for searching]","The person for whom the medication is prescribed/ordered. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationPrescriptionObligations.header.identifier","EHDSMedicationPrescriptionObligations.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the prescription. [Used for searching]","Business identifier(s) for the prescription. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationPrescriptionObligations.header.author[x]","EHDSMedicationPrescriptionObligations.header.author[x]","","","",1,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}","The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]","The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSMedicationPrescriptionObligations.header.date","EHDSMedicationPrescriptionObligations.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care professional. [Used for searching]","Time of issuing (signing) the prescription by health care professional. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSMedicationPrescriptionObligations.header.status","EHDSMedicationPrescriptionObligations.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of authorisation for dispensing the prescription items. This should not be the status of treatment. For a multiple-item prescription, this conveys the aggregate status of the entire prescription. In case of a single-item prescription, prescriptionItem.status shall be the same as EHDSMedicationPrescription.header.status. [Used for searching]","Status of authorisation for dispensing the prescription items. This should not be the status of treatment. For a multiple-item prescription, this conveys the aggregate status of the entire prescription. In case of a single-item prescription, prescriptionItem.status shall be the same as EHDSMedicationPrescription.header.status. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationPrescriptionObligations.header.source","EHDSMedicationPrescriptionObligations.header.source","","","",0,0,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSMedicationPrescriptionObligations.header.language","EHDSMedicationPrescriptionObligations.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationPrescriptionObligations.header.statusReason[x]","EHDSMedicationPrescriptionObligations.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.","Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.header.statusReason[x]",0,1,"",""
"EHDSMedicationPrescriptionObligations.presentedForm","EHDSMedicationPrescriptionObligations.presentedForm","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment {[]} {[]}
","Entire prescription as issued. Various formats could be provided, PDF format is recommended.","Entire prescription as issued. Various formats could be provided, PDF format is recommended.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.presentedForm",0,*,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem","EHDSMedicationPrescriptionObligations.prescriptionItem","","","",1,*,"","","","Base {[]} {[]}
","Prescription line for one medication. In many countries, only one item is allowed and there shall be no expectation to be able to manage multiple items. In case multiple medications are allowed, all items need to be authored together.","Prescription line for one medication. In many countries, only one item is allowed and there shall be no expectation to be able to manage multiple items. In case multiple medications are allowed, all items need to be authored together.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem",1,*,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.identifier","EHDSMedicationPrescriptionObligations.prescriptionItem.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Identifier for a single item on prescription, if exists. In case of single-item prescription, this identifier is typically the same as prescription identifier. [Used for searching]","Identifier for a single item on prescription, if exists. In case of single-item prescription, this identifier is typically the same as prescription identifier. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.identifier",1,*,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.status","EHDSMedicationPrescriptionObligations.prescriptionItem.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of a single item of a multi-item prescription. In case of single-item prescriptions, the status of prescription has the same meaning as the status of the item. [Used for searching]","Status of a single item of a multi-item prescription. In case of single-item prescriptions, the status of prescription has the same meaning as the status of the item. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.status",1,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.statusReason[x]","EHDSMedicationPrescriptionObligations.prescriptionItem.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of prescription, for example the reason why the prescription was made invalid or why the prescription was changed from previous","Reason for the current status of prescription, for example the reason why the prescription was made invalid or why the prescription was changed from previous","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.statusReason[x]",0,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.medication","EHDSMedicationPrescriptionObligations.prescriptionItem.medication","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication {[]} {[]}
","Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.medication",1,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.indication[x]","EHDSMedicationPrescriptionObligations.prescriptionItem.indication[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,"preferred","ICD-10, SNOMED CT, Orphacode","","",,,,"EHDSMedicationPrescription.prescriptionItem.indication[x]",0,*,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.intendedUseType","EHDSMedicationPrescriptionObligations.prescriptionItem.intendedUseType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Intent of the prescription - prophylaxis, treatment, anesthesia, etc","Intent of the prescription - prophylaxis, treatment, anesthesia, etc","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.intendedUseType",0,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.periodOfUse","EHDSMedicationPrescriptionObligations.prescriptionItem.periodOfUse","","","",0,1,"","","","Period {[]} {[]}
","Period over which the medication is to be taken (in case of multiple dosage schemes, this would be the overall period of all dosages.)","Period over which the medication is to be taken (in case of multiple dosage schemes, this would be the overall period of all dosages.)","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.periodOfUse",0,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.quantityPrescribed","EHDSMedicationPrescriptionObligations.prescriptionItem.quantityPrescribed","","","",0,1,"","","","Quantity {[]} {[]}
","Overall quantity of prescribed product (e.g number of packages or number of tablets).","Overall quantity of prescribed product (e.g number of packages or number of tablets).","","","","","","","","","",,"preferred","UCUM, EDQM Standard Terms","","",,,,"EHDSMedicationPrescription.prescriptionItem.quantityPrescribed",0,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.dosageInstructions","EHDSMedicationPrescriptionObligations.prescriptionItem.dosageInstructions","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosage {[]} {[]}
","Dosage and administration instructions","Dosage and administration instructions","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.dosageInstructions",1,1,"",""
"EHDSMedicationPrescriptionObligations.prescriptionItem.validityPeriod","EHDSMedicationPrescriptionObligations.prescriptionItem.validityPeriod","","","",0,1,"","","","Period {[]} {[]}
","The period over which the prescription is considered valid and dispensable. validityPeriod.start is, if missing, is assumed to be the date of issuing the prescription.","The period over which the prescription is considered valid and dispensable. validityPeriod.start is, if missing, is assumed to be the date of issuing the prescription.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.validityPeriod",0,1,"",""
