"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSHealthProfessional","EHDSHealthProfessional","","","",0,*,"","","","null {[]} {[]}
","Health professional model","Model for information about a health professional.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSHealthProfessional.identifier","EHDSHealthProfessional.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.","An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.identifier",0,*,"",""
"EHDSHealthProfessional.name","EHDSHealthProfessional.name","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName {[]} {[]}
","Name of the health professional that has been treating or taking responsibility for the patient.","Name of the health professional that has been treating or taking responsibility for the patient.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.name",0,1,"",""
"EHDSHealthProfessional.name.use","EHDSHealthProfessional.name.use","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Identifies the purpose of this name.","Identifies the purpose of this name.","","","","","","","","","",,"preferred","HL7 Name Use","","",,,,"EHDSHumanName.use",0,1,"",""
"EHDSHealthProfessional.name.text","EHDSHealthProfessional.name.text","","","",0,1,"","","","string {[]} {[]}
","Specifies the entire name as it should be displayed e.g. on an application UI.","Specifies the entire name as it should be displayed e.g. on an application UI.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.text",0,1,"",""
"EHDSHealthProfessional.name.family","EHDSHealthProfessional.name.family","","","",0,*,"","","","string {[]} {[]}
","The family name/surname/last name of a person.","The family name/surname/last name of a person.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.family",0,*,"",""
"EHDSHealthProfessional.name.given","EHDSHealthProfessional.name.given","","","",0,*,"","","","string {[]} {[]}
","The given name/first name.","The given name/first name.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.given",0,*,"",""
"EHDSHealthProfessional.name.prefix","EHDSHealthProfessional.name.prefix","","","",0,*,"","","","string {[]} {[]}
","Name parts that come before the name. Prefixes appear in the correct order for presenting the name.","Name parts that come before the name. Prefixes appear in the correct order for presenting the name.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.prefix",0,*,"",""
"EHDSHealthProfessional.name.suffix","EHDSHealthProfessional.name.suffix","","","",0,*,"","","","string {[]} {[]}
","Name parts that come after the name. Suffixes appear in the correct order for presenting the name.","Name parts that come after the name. Suffixes appear in the correct order for presenting the name.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.suffix",0,*,"",""
"EHDSHealthProfessional.address","EHDSHealthProfessional.address","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress {[]} {[]}
","Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.","Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.address",0,*,"",""
"EHDSHealthProfessional.telecom","EHDSHealthProfessional.telecom","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom {[]} {[]}
","Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.","Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.telecom",0,*,"",""
"EHDSHealthProfessional.professionalRole","EHDSHealthProfessional.professionalRole","","","",0,*,"","","","Base {[]} {[]}
","Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location.","Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location.","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.professionalRole",0,*,"",""
"EHDSHealthProfessional.professionalRole.role","EHDSHealthProfessional.professionalRole.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Health professional role. Multiple roles could be provided.","Health professional role. Multiple roles could be provided.","","","","","","","","","",,"preferred","ISCO, SNOMED CT","","",,,,"EHDSHealthProfessional.professionalRole.role",0,*,"",""
"EHDSHealthProfessional.professionalRole.organisation","EHDSHealthProfessional.professionalRole.organisation","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
","The organisation where this role is available","The organisation where this role is available","","","","","","","","","",,,,,"",,,,"EHDSHealthProfessional.professionalRole.organisation",0,1,"",""
"EHDSHealthProfessional.professionalRole.specialty","EHDSHealthProfessional.professionalRole.specialty","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The specialty of a practitioner that describes the functional role they are practicing at a given organisation","The specialty of a practitioner that describes the functional role they are practicing at a given organisation","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSHealthProfessional.professionalRole.specialty",0,*,"",""
