Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	38921	-	0	0	0	0	0	0	15	65	0	0	0	0	0	0	0	1	0	0	128	160	0	0	0	5	0	0
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	7	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	13	0	0	1	0	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	5	0	7	0	0	1	1	0	58	0	0	1	0	0	0	0	0	0	0	55	848	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	5	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	54	124	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	4	0	20	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	41	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirectiveObligations.json	5225	8	0	15	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	67	131	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	6	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	60	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertObligations.json	3860	7	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	62	114	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	6	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	92	168	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	5	0	12	0	0	0	0	0	71	0	0	0	0	0	0	0	1	0	0	97	160	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	5	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	46	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	7	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	44	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructureLaboratoryObligations.json	5588	8	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	131	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	72	118	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	5	0	11	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	109	121	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionLaboratoryObligations.json	5942	5	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	80	119	0	0	0	2	0	0
