Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21103	-	0	0	0	0	0	0	12	84	0	0	0	0	0	0	0	1	0	0	92	100	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	19	0	6	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	54	765	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1417	14	0	32	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	43	176	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	16	0	37	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	39	135	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	15	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	53	127	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	16	0	15	0	0	0	0	0	23	0	0	1	0	0	0	0	1	0	0	81	153	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	10	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	36	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	3	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	4	0	15	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	67	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	3	0	17	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	116	162	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	2	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	46	81	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	49	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5800	4	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	55	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	3	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	58	143	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	6	0	37	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	223	342	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9560	4	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	96	163	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11402	4	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	103	206	0	0	0	3	0	1
