Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22708	-	0	0	0	0	0	0	7	61	0	0	0	0	0	0	0	1	0	0	88	119	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	21	0	20	0	0	1	0	0	62	0	0	1	0	0	0	0	0	0	1	59	842	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	3112	15	0	43	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	36	152	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	14	0	25	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	62	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	17	0	20	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	94	179	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	14	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	12	0	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	96	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	6	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	68	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	3	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	74	164	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	3	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	40	56	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	3	0	19	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	79	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	54	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	5	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	54	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5087	3	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	63	85	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	18	0	96	0	0	0	0	0	113	0	0	1	0	0	0	0	1	0	0	537	823	0	0	0	22	0	2
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	108	131	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	5	0	7	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	42	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	6	0	13	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	164	191	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	5	0	19	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	131	154	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	60	96	0	0	0	2	0	1
