"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryReport","EHDSLaboratoryReport","","","",0,*,"","","","null {[]} {[]}
","Laboratory report model","EHDS refined base model for Laboratory result report","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryReport.header","EHDSLaboratoryReport.header","","","",1,1,"","","","Base {[]} {[]}
","Laboratory Report header","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSLaboratoryReport.header.subject","EHDSLaboratoryReport.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSLaboratoryReport.header.identifier","EHDSLaboratoryReport.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier of the document","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSLaboratoryReport.header.authorship","EHDSLaboratoryReport.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship of the laboratory report","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSLaboratoryReport.header.authorship.author[x]","EHDSLaboratoryReport.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","Author(s) by whom the laboratory result report was authored. Multiple authors could be provided.","Author of the laboratory report could be either a health professional who authored the report, laboratory itself or laboratory information system. Author information is the only mandatory element of the laboratory report header. As such, each laboratory shall be able to provide at least the author information.","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSLaboratoryReport.header.authorship.datetime","EHDSLaboratoryReport.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSLaboratoryReport.header.lastUpdate","EHDSLaboratoryReport.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource (may be used for technical corrections).","Date and time of the last update to the resource (may be used for technical corrections).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSLaboratoryReport.header.status","EHDSLaboratoryReport.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSLaboratoryReport.header.statusReason[x]","EHDSLaboratoryReport.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSLaboratoryReport.header.language","EHDSLaboratoryReport.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSLaboratoryReport.header.documentType","EHDSLaboratoryReport.header.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of document at hand, e.g. 60591-5 Patient summary document.","Type of document at hand, e.g. 60591-5 Patient summary document.","","","","","","","","","",,"preferred","LOINC","","",,,,"EHDSDocument.header.documentType",1,1,"",""
"EHDSLaboratoryReport.header.documentTitle","EHDSLaboratoryReport.header.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'","Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.documentTitle",1,1,"",""
"EHDSLaboratoryReport.header.period","EHDSLaboratoryReport.header.period","","","",0,1,"","","","Period {[]} {[]}
","Time of service that is being documented","Time of service that is being documented","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.period",0,1,"",""
"EHDSLaboratoryReport.header.version","EHDSLaboratoryReport.header.version","","","",0,1,"","","","string {[]} {[]}
","Business version of the document.","Business version of the document.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.version",0,1,"",""
"EHDSLaboratoryReport.header.attestation","EHDSLaboratoryReport.header.attestation","","","",0,*,"","","","Base {[]} {[]}
","Document attestation details","Document attestation details","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation",0,*,"",""
"EHDSLaboratoryReport.header.attestation.attester[x]","EHDSLaboratoryReport.header.attestation.attester[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Attester who validated the document. Multiple attesters could be provided.","Attester who validated laboratory result report. Multiple attesters could be provided.","Attestation (validation) of the laboratory report content is the usual step before legal authentication. Attestation could be provided by e.g. the laboratory specialist or the laboratory information system based on internal rules of the laboratory.","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.attester[x]",1,1,"",""
"EHDSLaboratoryReport.header.attestation.datetime","EHDSLaboratoryReport.header.attestation.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of the approval of the document by Attester.","Date and time of the approval of the document by Attester.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.datetime",1,1,"",""
"EHDSLaboratoryReport.header.legalAuthentication","EHDSLaboratoryReport.header.legalAuthentication","","","",0,1,"","","","Base {[]} {[]}
","Document legal authentication details","Document legal authentication details","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication",0,1,"",""
"EHDSLaboratoryReport.header.legalAuthentication.legalAuthenticator[x]","EHDSLaboratoryReport.header.legalAuthentication.legalAuthenticator[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}","The person or organization taking responsibility for the medical content of the document","The person or organization taking responsibility for the medical content of the document","Legal authentication of the laboratory report is the usual step after attestation. Legal authentication could be provided by e.g. the head of the laboratory or the laboratory organization itself.","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication.legalAuthenticator[x]",1,1,"",""
"EHDSLaboratoryReport.header.legalAuthentication.datetime","EHDSLaboratoryReport.header.legalAuthentication.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time when the document was authorised.","Date and time when the document was authorised.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication.datetime",1,1,"",""
