"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationAdministration","EHDSMedicationAdministration","","","",0,*,"","","","null {[]} {[]}
","Medication administration model","EHDS refined base model for a single medication administration","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationAdministration.header","EHDSMedicationAdministration.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationAdministration.header.subject","EHDSMedicationAdministration.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationAdministration.header.identifier","EHDSMedicationAdministration.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationAdministration.header.authorship","EHDSMedicationAdministration.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSMedicationAdministration.header.authorship.author[x]","EHDSMedicationAdministration.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSMedicationAdministration.header.authorship.datetime","EHDSMedicationAdministration.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSMedicationAdministration.header.lastUpdate","EHDSMedicationAdministration.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource (may be used for technical corrections).","Date and time of the last update to the resource (may be used for technical corrections).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSMedicationAdministration.header.status","EHDSMedicationAdministration.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the administration (e.g. completed, not-done, on-hold, in-progress, unknown)","Status of the resource or document","","","","","","","","","",,"preferred","HL7 MedicationAdimnistrationStatusCodes","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationAdministration.header.statusReason[x]","EHDSMedicationAdministration.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason administration was not performed","Reason for the current status of the resource.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSMedicationAdministration.header.language","EHDSMedicationAdministration.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationAdministration.medication","EHDSMedicationAdministration.medication","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication {[]} {[]}
","Administered medication","Administered medication","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.medication",1,1,"",""
"EHDSMedicationAdministration.occurrence[x]","EHDSMedicationAdministration.occurrence[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Specific date/time or interval of time during which the administration took place (or did not take place)","Specific date/time or interval of time during which the administration took place (or did not take place)","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.occurrence[x]",1,1,"",""
"EHDSMedicationAdministration.reason[x]","EHDSMedicationAdministration.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}","Condition or observation that supports why the medication was administered","Condition or observation that supports why the medication was administered","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.reason[x]",0,*,"",""
"EHDSMedicationAdministration.note","EHDSMedicationAdministration.note","","","",0,1,"","","","string {[]} {[]}
","Textual information about the administration","Textual information about the administration","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.note",0,1,"",""
"EHDSMedicationAdministration.dosage","EHDSMedicationAdministration.dosage","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosage {[]} {[]}
","Details of how medication was taken","Details of how medication was taken","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage",0,1,"",""
