Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22250	-	0	0	0	0	0	0	12	80	0	0	0	0	0	0	0	1	0	0	104	150	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	11	0	9	0	0	0	0	0	70	0	0	1	0	0	0	0	0	0	0	77	815	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	7	0	37	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	69	196	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5642	6	0	24	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	71	153	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10762	9	0	23	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	100	210	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	6	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	95	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	6	0	23	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	53	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	8	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	85	182	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	5	0	16	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	50	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	6	0	19	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	57	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	64	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	7	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	48	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5578	6	0	19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	72	122	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	25	0	90	0	0	0	0	0	119	0	0	1	0	0	0	0	2	0	0	534	789	0	0	0	28	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	91	167	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	4	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	36	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	10	0	27	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	158	213	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	7	1	16	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	120	183	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	6	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	55	106	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	5	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	58	101	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3877	3	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	49	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	3	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	63	129	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	5	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	48	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	5	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	34	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29149	6	0	33	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	236	300	0	0	0	9	1	1
