Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21411	-	0	0	0	0	0	0	7	81	0	0	0	0	0	0	0	1	0	0	69	163	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	10	0	9	0	0	0	0	0	71	0	0	1	0	0	0	0	0	0	0	38	887	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	5	0	33	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	42	176	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4115	6	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	145	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	7	0	13	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	46	179	0	1	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	9	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	5	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	23	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	5	0	27	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	30	121	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	8	0	16	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	42	192	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	5	0	9	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	22	87	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	5	0	11	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	110	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	33	162	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	6	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	124	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5578	5	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	37	172	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	24	0	93	0	0	0	0	0	107	0	0	0	0	0	0	0	1	0	0	292	793	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	7	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	75	135	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	4	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	11	0	16	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	106	158	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	7	0	19	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	63	144	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	6	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	30	104	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	5	0	13	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	31	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3877	4	0	9	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	5	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	35	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	5	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	4	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	19	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29149	10	0	15	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	154	318	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	7	0	15	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	74	202	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4809	5	0	8	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	38	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	3980	5	0	8	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	27	98	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	2	0	29	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	175	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	5	0	17	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	94	311	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	3	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	22	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6282	4	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	37	111	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15912	5	0	10	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	83	198	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4416	4	0	8	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	34	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7193	5	0	48	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	44	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18837	8	0	13	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	87	187	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5372	3	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	102	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	17472	6	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	96	244	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	4	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	4	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	75	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5029	5	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	27	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	27970	10	0	20	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	110	336	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3128	4	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	20	76	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7082	5	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4164	5	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	20	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7583	4	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	132	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	4	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7550	5	0	4	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	86	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3949	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4248	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	2	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	38	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	2	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	53	0	0	0	1	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	3233	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
