Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22464	-	0	0	0	0	0	0	11	84	0	0	0	0	0	0	0	0	0	0	88	143	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	9	0	8	0	0	0	1	0	77	0	0	0	0	0	0	0	1	0	0	57	827	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	3287	3	0	35	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	51	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	3	0	14	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	57	149	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	5	0	14	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	77	282	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	5	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	40	125	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3443	5	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	35	99	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	3	0	18	0	0	0	0	0	19	0	0	1	0	0	0	0	1	0	0	67	126	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	4	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	82	185	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	31	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	49	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	3	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	132	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	50	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	3	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	55	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5097	3	0	11	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	65	117	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26590	7	0	41	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	206	282	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	89	176	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	2	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	35	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18306	7	0	12	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	157	192	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	6	0	8	1	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	163	161	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	4	0	5	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	73	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	57	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	3	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	62	118	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	49	81	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	3	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	38	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	27869	7	0	17	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	224	284	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	5	0	11	1	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	134	205	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5907	2	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	51	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	3	0	26	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	70	193	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	5	0	16	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	169	208	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	4	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6233	3	0	6	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	106	110	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17920	5	0	9	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	152	188	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4096	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	53	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7060	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	70	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17706	5	0	10	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	156	100	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5372	2	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	44	118	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	23361	6	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	201	259	0	1	0	7	1	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	2	0	4	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	39	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	3	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5029	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	49	99	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	27970	6	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	218	337	0	0	1	7	0	1
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3128	2	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	34	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7082	3	0	7	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	70	87	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4164	2	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	35	48	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7583	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	79	76	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	3	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	75	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7550	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	69	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3949	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	46	58	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4284	2	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	49	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	3	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	28	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	2	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	52	0	0	0	1	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	3085	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/howto.md	8792	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-notes.md	1816	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
