Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22286	-	0	0	0	0	0	0	7	78	0	0	0	0	0	0	0	1	0	0	88	116	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	12	0	9	0	0	0	0	0	61	0	0	1	0	0	0	0	0	0	0	58	932	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	3	0	34	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	67	219	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	3	0	22	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	70	138	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10762	5	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	94	220	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	4	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	37	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	6	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	43	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	6	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	69	91	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	21	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	96	129	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	5	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	42	54	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	6	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	88	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	60	71	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	6	0	12	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	62	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5578	5	0	19	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	70	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	23	0	58	0	0	0	0	0	105	0	0	0	0	0	0	0	2	0	0	550	767	0	1	0	22	1	1
