"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSCurrentPregnancy","EHDSCurrentPregnancy","","","",0,*,"","","","null {[]} {[]}
","Current pregnancy status model","Current pregnancy status","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSCurrentPregnancy.header","EHDSCurrentPregnancy.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSCurrentPregnancy.header.subject","EHDSCurrentPregnancy.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSCurrentPregnancy.header.identifier","EHDSCurrentPregnancy.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSCurrentPregnancy.header.authorship","EHDSCurrentPregnancy.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details. Multiple authors can be provided.","Resource authoring details. Multiple authors can be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSCurrentPregnancy.header.authorship.author[x]","EHDSCurrentPregnancy.header.authorship.author[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author and/or responsible for the resource. More specific models should define this more concretely.","Author and/or responsible for the resource. More specific models should define this more concretely.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",0,1,"",""
"EHDSCurrentPregnancy.header.authorship.datetime","EHDSCurrentPregnancy.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSCurrentPregnancy.header.status","EHDSCurrentPregnancy.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSCurrentPregnancy.header.language","EHDSCurrentPregnancy.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSCurrentPregnancy.narrative","EHDSCurrentPregnancy.narrative","","","",0,1,"","","","string {[]} {[]}
","Textual description of current pregnancy status","Narrative description describing the status of the current pregnancy.","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.narrative",0,1,"",""
"EHDSCurrentPregnancy.currentPregnancyStatus","EHDSCurrentPregnancy.currentPregnancyStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Current pregnancy status","Current state of the pregnancy at the date the observation was made, e.g. pregnant, not pregnant, unknown.","","eHN PS Guideline, ISO IPS","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSCurrentPregnancy.currentPregnancyStatus",1,1,"",""
"EHDSCurrentPregnancy.dateOfStatus","EHDSCurrentPregnancy.dateOfStatus","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the current pregnancy status.","Effective date of the current pregnancy status.","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.dateOfStatus",0,1,"",""
"EHDSCurrentPregnancy.expectedDateOfDelivery","EHDSCurrentPregnancy.expectedDateOfDelivery","","","",0,1,"","","","date {[]} {[]}
","Date in which the woman is due to give birth. Year, day and month are required.","Date in which the woman is due to give birth. Year, day and month are required.","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.expectedDateOfDelivery",0,1,"",""
"EHDSCurrentPregnancy.gestationalAge","EHDSCurrentPregnancy.gestationalAge","","","",0,1,"","","","Quantity {[]} {[]}
","Duration of the pregnancy at this day","Gestational age - duration of the pregnancy on the day on which the patient was asked or at the delivery. The duration can be given in weeks and/or days.","","","","","","","","","",,,,,"",,,,"EHDSCurrentPregnancy.gestationalAge",0,1,"",""
