"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDeviceUse","EHDSDeviceUse","","","",0,*,"","","","null {[]} {[]}
","Device use model","EHDS refined base model for device use information","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDeviceUse.header","EHDSDeviceUse.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSDeviceUse.header.subject","EHDSDeviceUse.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDeviceUse.header.identifier","EHDSDeviceUse.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSDeviceUse.header.authorship","EHDSDeviceUse.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details. Multiple authors can be provided.","Resource authoring details. Multiple authors can be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSDeviceUse.header.authorship.author[x]","EHDSDeviceUse.header.authorship.author[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author and/or responsible for the resource. More specific models should define this more concretely.","Author and/or responsible for the resource. More specific models should define this more concretely.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",0,1,"",""
"EHDSDeviceUse.header.authorship.datetime","EHDSDeviceUse.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSDeviceUse.header.status","EHDSDeviceUse.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Current status of the device usage.","Status of the resource or document","","","","","","","","","",,"preferred","HL7 device-statement-status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSDeviceUse.header.language","EHDSDeviceUse.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSDeviceUse.period","EHDSDeviceUse.period","","","",0,1,"","","","Period {[]} {[]}
","The period of time during which the device was implanted in the patient or the external device was in use.","The period of time during which the device was implanted in the patient or the external device was in use.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.period",0,1,"",""
"EHDSDeviceUse.device[x]","EHDSDeviceUse.device[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The details of the device used.","The details of the device used.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.device[x]",1,1,"",""
"EHDSDeviceUse.bodySite","EHDSDeviceUse.bodySite","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Anatomical location of the device. May include laterality.","Anatomical location of the device. May include laterality.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.bodySite",0,1,"",""
