"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSFamilyMemberHistory","EHDSFamilyMemberHistory","","","",0,*,"","","","null {[]} {[]}
","Family member history model","EHDS refined base model for family member history","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSFamilyMemberHistory.header","EHDSFamilyMemberHistory.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSFamilyMemberHistory.header.subject","EHDSFamilyMemberHistory.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","The person whose family member's medical history is described.","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSFamilyMemberHistory.header.identifier","EHDSFamilyMemberHistory.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSFamilyMemberHistory.header.authorship","EHDSFamilyMemberHistory.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details. Multiple authors can be provided.","Resource authoring details. Multiple authors can be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSFamilyMemberHistory.header.authorship.author[x]","EHDSFamilyMemberHistory.header.authorship.author[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author and/or responsible for the resource. More specific models should define this more concretely.","Author and/or responsible for the resource. More specific models should define this more concretely.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",0,1,"",""
"EHDSFamilyMemberHistory.header.authorship.datetime","EHDSFamilyMemberHistory.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSFamilyMemberHistory.header.status","EHDSFamilyMemberHistory.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSFamilyMemberHistory.header.language","EHDSFamilyMemberHistory.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSFamilyMemberHistory.patientRelationship","EHDSFamilyMemberHistory.patientRelationship","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Patient relationship","The family relation between the related person and the patient.","","","","","","","","","",,"preferred","hl7:v3-RoleCode","","",,,,"EHDSFamilyMemberHistory.patientRelationship",0,1,"",""
"EHDSFamilyMemberHistory.dateOfBirth","EHDSFamilyMemberHistory.dateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Date of birth of the family member.","Date of birth of the family member.","","","","","","","","","",,,,,"",,,,"EHDSFamilyMemberHistory.dateOfBirth",0,1,"",""
"EHDSFamilyMemberHistory.ageOrDateOfDeath[x]","EHDSFamilyMemberHistory.ageOrDateOfDeath[x]","","","",0,1,"","","","date {[]} {[]}
Quantity {[]} {[]}","Age or date of the death of the family member.","Age or date of the death of the family member.","","","","","","","","","",,,,,"",,,,"EHDSFamilyMemberHistory.ageOrDateOfDeath[x]",0,1,"",""
"EHDSFamilyMemberHistory.condition","EHDSFamilyMemberHistory.condition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Medical problems this person suffers or suffered.","Medical problems this person suffers or suffered.","","","","","","","","","",,"preferred","ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed","","",,,,"EHDSFamilyMemberHistory.condition",0,*,"",""
"EHDSFamilyMemberHistory.causeOfDeath","EHDSFamilyMemberHistory.causeOfDeath","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Information about disease or condition that was the main cause of death.","Information about disease or condition that was the main cause of death.","","","","","","","","","",,"preferred","ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed","","",,,,"EHDSFamilyMemberHistory.causeOfDeath",0,1,"",""
