"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSSubstanceUse","EHDSSubstanceUse","","","",0,*,"","","","null {[]} {[]}
","Substance use model","Statement about using a substance (such as tobacco, alcohol, drugs, etc).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSSubstanceUse.header","EHDSSubstanceUse.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSSubstanceUse.header.subject","EHDSSubstanceUse.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSSubstanceUse.header.identifier","EHDSSubstanceUse.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSSubstanceUse.header.authorship","EHDSSubstanceUse.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details. Multiple authors can be provided.","Resource authoring details. Multiple authors can be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSSubstanceUse.header.authorship.author[x]","EHDSSubstanceUse.header.authorship.author[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author and/or responsible for the resource. More specific models should define this more concretely.","Author and/or responsible for the resource. More specific models should define this more concretely.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",0,1,"",""
"EHDSSubstanceUse.header.authorship.datetime","EHDSSubstanceUse.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSSubstanceUse.header.status","EHDSSubstanceUse.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the patient’s alcohol use.","Status of the resource or document","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSSubstanceUse.header.language","EHDSSubstanceUse.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSSubstanceUse.period","EHDSSubstanceUse.period","","","",0,1,"","","","Period {[]} {[]}
","Time period for which this observation about substance use is applicable","Time period for which this observation about substance use is applicable","","","","","","","","","",,,,,"",,,,"EHDSSubstanceUse.period",0,1,"",""
"EHDSSubstanceUse.frequencyAndQuantity","EHDSSubstanceUse.frequencyAndQuantity","","","",0,1,"","","","Base {[]} {[]}
","The extent of the patient’s alcohol use in units of alcohol per time period.","The extent of the patient’s alcohol use in units of alcohol per time period.","","","","","","","","","",,,,,"",,,,"EHDSSubstanceUse.frequencyAndQuantity",0,1,"",""
"EHDSSubstanceUse.frequencyAndQuantity.quantity","EHDSSubstanceUse.frequencyAndQuantity.quantity","","","",1,1,"","","","Quantity {[]} {[]}
","Quantity (volume per time unit).","Quantity (volume per time unit).","","","","","","","","","",,,,,"",,,,"EHDSSubstanceUse.frequencyAndQuantity.quantity",1,1,"",""
"EHDSSubstanceUse.frequencyAndQuantity.period","EHDSSubstanceUse.frequencyAndQuantity.period","","","",0,1,"","","","Period {[]} {[]}
","Time period of alcohol use.","Time period of alcohol use.","","","","","","","","","",,,,,"",,,,"EHDSSubstanceUse.frequencyAndQuantity.period",0,1,"",""
"EHDSSubstanceUse.substanceType","EHDSSubstanceUse.substanceType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of substance","Type of substance","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSSubstanceUse.substanceType",0,1,"",""
"EHDSSubstanceUse.routeOfAdministration","EHDSSubstanceUse.routeOfAdministration","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Route(s) of administration","Route(s) of administration","","","","","","","","","",,"preferred","EDQM","","",,,,"EHDSSubstanceUse.routeOfAdministration",0,*,"",""
"EHDSSubstanceUse.note","EHDSSubstanceUse.note","","","",0,1,"","","","string {[]} {[]}
","Textual comment.","Textual comment.","","","","","","","","","",,,,,"",,,,"EHDSSubstanceUse.note",0,1,"",""
