Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22250	-	0	0	0	0	0	0	8	80	0	0	0	0	0	0	0	1	0	0	106	238	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	11	0	9	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	78	827	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	6	0	38	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	64	289	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	6	0	19	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	72	177	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10762	8	0	21	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	105	242	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	44	124	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	6	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	43	124	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	6	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	53	122	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	14	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	85	198	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	6	0	9	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	50	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	5	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	41	111	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	60	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	7	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	56	120	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5087	6	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	70	117	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	26	0	58	1	0	0	0	0	105	0	0	0	0	0	0	0	1	0	0	553	614	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	8	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	126	141	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	5	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	52	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	9	0	9	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	183	196	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	8	0	9	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	137	153	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	6	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	55	100	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	5	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	63	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3877	5	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	53	99	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	6	0	6	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	63	156	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	4	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	48	86	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	5	0	3	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29149	6	0	17	0	0	0	0	0	61	0	0	0	1	0	0	0	1	0	0	237	318	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	7	0	12	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	134	222	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4809	5	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	52	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	3980	2	0	42	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	48	106	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	2	0	43	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	71	219	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	5	0	19	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	171	208	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	6	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	36	70	0	0	0	1	0	0
