"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationDispense","EHDSMedicationDispense","","","",0,*,"","","","null {[]} {[]}
","Medication dispense model","Logical model for medication dispensation (based on request or independently)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationDispense.header","EHDSMedicationDispense.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationDispense.header.subject","EHDSMedicationDispense.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationDispense.header.identifier","EHDSMedicationDispense.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationDispense.header.authorship","EHDSMedicationDispense.header.authorship","","","",0,*,"","","","Base {[]} {[]}
","Resource authoring details. Multiple authors can be provided.","Resource authoring details. Multiple authors can be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",0,*,"",""
"EHDSMedicationDispense.header.authorship.author[x]","EHDSMedicationDispense.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.","Author responsible for the provided information. The exact role of the responsible author varies across use cases and is often specified in individual models.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSMedicationDispense.header.authorship.datetime","EHDSMedicationDispense.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of issuing the dispense record","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSMedicationDispense.header.status","EHDSMedicationDispense.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The status of the dispense, e.g. completed, declined, entered-in-error","Status of the resource or document","","","","","","","","","",,"preferred","HL7 MedicationDispense Status Codes","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationDispense.header.language","EHDSMedicationDispense.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationDispense.dispenseLocation","EHDSMedicationDispense.dispenseLocation","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}
","Location of dispense","Location of dispense","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dispenseLocation",0,1,"",""
"EHDSMedicationDispense.receiver[x]","EHDSMedicationDispense.receiver[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.","Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.receiver[x]",0,1,"",""
"EHDSMedicationDispense.relatedRequest","EHDSMedicationDispense.relatedRequest","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier of the prescription item the dispense is related to","Identifier of the prescription item the dispense is related to","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.relatedRequest",0,*,"",""
"EHDSMedicationDispense.medication","EHDSMedicationDispense.medication","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication {[]} {[]}
","Exact dispensed product","Exact dispensed product","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.medication",1,1,"",""
"EHDSMedicationDispense.dispensedQuantity","EHDSMedicationDispense.dispensedQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected.","Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected.","","","","","","","","","",,"preferred","UCUM, EDQM Standard Terms","","",,,,"EHDSMedicationDispense.dispensedQuantity",1,1,"",""
"EHDSMedicationDispense.timeOfDispensation","EHDSMedicationDispense.timeOfDispensation","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record.","Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.timeOfDispensation",0,1,"",""
"EHDSMedicationDispense.substitutionOccurred","EHDSMedicationDispense.substitutionOccurred","","","",0,1,"","","","boolean {[]} {[]}
","Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.","Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.substitutionOccurred",0,1,"",""
"EHDSMedicationDispense.dosageInstructions","EHDSMedicationDispense.dosageInstructions","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosaging {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dosageInstructions",0,*,"",""
"EHDSMedicationDispense.note","EHDSMedicationDispense.note","","","",0,1,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.note",0,1,"",""
