Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22329	-	0	0	0	0	0	0	7	87	0	0	0	0	0	0	0	1	0	0	90	145	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	9	0	8	0	0	0	0	0	67	0	0	1	0	0	0	0	0	0	0	56	852	0	1	0	4	1	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	4	0	24	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	68	194	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	4	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	65	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	6	0	13	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	102	149	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	47	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	5	0	15	1	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	38	78	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	3	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	64	92	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	5	0	14	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	76	123	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	3	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	40	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	3	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	37	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	50	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	3	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	56	125	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5087	4	0	16	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	65	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26590	7	0	48	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	207	197	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	4	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	90	117	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	3	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	8	0	19	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	163	154	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	8	0	12	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	146	115	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	3	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	55	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	4	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	58	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	4	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	62	87	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	49	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29149	6	0	24	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	234	398	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	5	0	15	1	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	134	235	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5907	4	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	51	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	4	0	45	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	70	231	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	5	0	19	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	169	225	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	36	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6282	4	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	67	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15912	5	0	13	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	150	197	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4096	3	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	60	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	6872	4	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	74	70	0	0	0	2	0	0
