Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22767	-	0	0	0	0	0	0	10	74	0	0	0	0	0	0	0	1	0	0	86	145	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	10	0	9	1	0	0	0	0	66	0	0	1	0	0	0	0	0	0	0	54	4926	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	5	0	32	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	66	163	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	4	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	66	118	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	7	0	14	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	85	162	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	45	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	5	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	38	75	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	4	0	22	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	67	94	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	5	0	15	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	85	161	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	3	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	51	64	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	3	0	11	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	4	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	49	70	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	4	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	59	83	0	0	0	2	0	0
