Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21539	-	0	0	0	0	0	0	7	60	0	0	0	0	0	0	0	1	0	0	90	215	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	20	0	10	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	56	808	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	17	0	46	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	49	134	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	10	0	43	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	46	114	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	4	0	21	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	62	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	5	0	22	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	127	147	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	5	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	40	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	4	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	34	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	4	0	25	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	69	83	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	7	0	23	0	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	86	125	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	4	0	19	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	184	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	54	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6174	7	0	18	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	56	109	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	6	0	19	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	111	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	28463	11	0	73	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	223	335	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9560	7	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	95	138	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11402	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	104	145	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	6	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	124	117	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	5	0	17	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	71	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6275	5	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	50	61	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3164	5	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	25918	9	0	35	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	242	288	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	19143	9	0	31	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	146	200	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5845	5	0	20	0	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	53	96	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4486	4	0	52	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	85	246	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	16328	10	0	11	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	157	203	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3960	5	0	3	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	36	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17682	8	0	8	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	149	179	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4341	5	0	5	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	55	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7485	5	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	72	107	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17497	8	0	9	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	155	164	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationUse.json	5308	4	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	60	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	29084	12	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	260	323	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3264	4	0	2	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	4183	4	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	42	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	33251	14	0	28	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	254	394	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3036	4	0	8	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	40	92	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7813	5	0	7	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	113	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	3810	5	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	79	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7018	4	0	6	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	78	129	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	10825	6	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	100	155	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	1855	4	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	55	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	1746	3	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	72	0	0	0	0	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2611	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2503	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSObservation-notes.md	1964	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/howto.md	9111	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-notes.md	1816	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-prescription.md	3237	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/overview-dispensation.md	3664	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSDosage-notes.md	2846	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.md	1337	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/knownIssues.md	128	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-dischargereport.md	854	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/scope.md	2070	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSObservation-intro.md	1135	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-medicaltestresult.md	1549	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	299	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-medicalimages.md	902	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/overview-patientsummary.md	1374	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	3700	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSLaboratoryObservation-notes.md	2077	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/wow.md	1067	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/24px.svg	234	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	24065	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
