Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22538	-	0	0	0	0	0	0	6	82	0	0	0	0	0	0	0	1	0	0	85	249	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	21	0	6	0	0	0	0	0	75	0	0	1	0	0	0	0	0	0	0	58	838	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	3111	13	0	28	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	44	147	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5901	7	0	13	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	64	144	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9754	6	0	13	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	80	155	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3443	6	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	41	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5331	4	0	16	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	67	93	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8901	6	0	12	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	75	152	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	3	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	40	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	4127	4	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	46	81	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4988	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	51	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	3	0	10	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	55	81	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5492	4	0	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	67	88	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26981	7	0	40	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	213	191	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9865	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	93	100	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	35	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18306	7	0	14	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	158	123	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11372	7	0	13	1	0	1	0	0	61	0	0	0	0	0	0	0	0	0	0	133	102	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	7	0	9	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	61	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	4	0	12	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	87	160	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	3	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	59	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	3	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	27677	8	0	26	0	0	0	0	0	57	0	0	0	0	0	0	0	1	0	0	232	316	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18840	6	0	12	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	140	229	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	6156	3	0	8	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	55	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4978	3	0	34	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	88	195	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17737	64	0	14	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	169	143	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	4	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	55	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6233	4	0	5	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	66	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17920	6	0	12	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	151	156	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4096	4	0	5	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	52	62	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7334	4	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	69	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17708	5	0	12	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	157	104	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5372	3	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	45	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	29369	8	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	291	210	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	3	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	48	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	4	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	43	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5029	3	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	49	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	27969	8	0	28	1	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	211	244	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3347	3	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	59	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7082	3	0	9	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	70	79	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4290	3	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	41	46	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7567	4	0	6	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	85	87	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	53	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	11237	4	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	106	86	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3949	3	0	3	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4284	4	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	47	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	44	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	2	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	56	0	0	0	0	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	3021	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSLaboratoryObservation-intro.md	3135	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/howto.md	8792	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-notes.md	1816	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSMedicationStatement-intro.md	398	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseDispensation.md	3545	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCasePatientSummary.md	1649	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCasePrescription.md	3374	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/knownIssues.md	128	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseHospitalDischargeReport.md	1131	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabReport.md	1663	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/scope.md	1974	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseMedicalImages.md	1011	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSObservation-intro.md	3023	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	299	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	3705	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/wow.md	1067	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/24px.svg	234	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	26082	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
