"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSTravelHistory","EHDSTravelHistory","","","",0,*,"","","","null {[]} {[]}
","Travel history model","Relevant information about the patient's recent travel history, for one visit","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSTravelHistory.header","EHDSTravelHistory.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSTravelHistory.header.subject","EHDSTravelHistory.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSTravelHistory.header.identifier","EHDSTravelHistory.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSTravelHistory.header.authorship","EHDSTravelHistory.header.authorship","","","",0,*,"","","","Base {[]} {[]}
","Resource authoring details. Multiple authors can be provided.","Resource authoring details. Multiple authors can be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",0,*,"",""
"EHDSTravelHistory.header.authorship.author[x]","EHDSTravelHistory.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author responsible for the provided information. The exact role of the responsible author varies across use cases and is often specified in individual models.","Author responsible for the provided information. The exact role of the responsible author varies across use cases and is often specified in individual models.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSTravelHistory.header.authorship.datetime","EHDSTravelHistory.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSTravelHistory.header.status","EHDSTravelHistory.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSTravelHistory.header.language","EHDSTravelHistory.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSTravelHistory.country","EHDSTravelHistory.country","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Country visited","Country visited","","eHN PS Guideline","","","","","","","",,"preferred","ISO 3166","","",,,,"EHDSTravelHistory.country",1,1,"",""
"EHDSTravelHistory.period","EHDSTravelHistory.period","","","",0,1,"","","","Period {[]} {[]}
","Date of entry and departure","The period during which the patient visited the country","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSTravelHistory.period",0,1,"",""
