Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22708	-	0	0	0	0	0	0	11	72	0	0	0	0	0	0	0	1	0	0	96	164	0	0	1	8	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	10	0	8	0	0	0	0	0	70	0	0	1	0	0	0	0	1	0	0	98	816	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	5	0	37	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	58	212	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	6	0	26	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	60	151	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	6	0	22	1	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	76	193	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	5	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40	102	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	6	0	24	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	68	127	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	24	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	79	295	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	5	0	18	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	45	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	5	0	19	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	38	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	49	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	7	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	55	135	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5087	6	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	65	135	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	27	0	81	1	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	542	661	0	0	0	27	0	2
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	7	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	93	179	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	5	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	73	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18251	9	0	16	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	160	205	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	7	0	14	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	120	170	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	5	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	54	106	0	0	0	2	0	0
