"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationUse","EHDSMedicationUse","","","",0,*,"","","","null {[]} {[]}
","Medication use model","Statement about usage of a medication: this can be a more generic statement like an entry in medication summary, or a documentation of a single administration. When documenting a single administration fact, further restrictions may apply (e.g. no repeats in dosaging information)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationUse.header","EHDSMedicationUse.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationUse.header.subject","EHDSMedicationUse.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationUse.header.identifier","EHDSMedicationUse.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationUse.header.authorship","EHDSMedicationUse.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSMedicationUse.header.authorship.author[x]","EHDSMedicationUse.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSMedicationUse.header.authorship.datetime","EHDSMedicationUse.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSMedicationUse.header.lastUpdate","EHDSMedicationUse.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource (may be used for technical corrections).","Date and time of the last update to the resource (may be used for technical corrections).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSMedicationUse.header.status","EHDSMedicationUse.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of actual administration of the medicine (administration status or adherence, according to the use case)","Status of the resource or document","","MyHealth@EU","","","","","","","",,"preferred","For medication lists: HL7 MedicationStatement Adherence Codes (status of the exchanged statement record is assumed to be 'recorded'). For single administrations: HL7 MedicationAdministration Status Codes.","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationUse.header.statusReason[x]","EHDSMedicationUse.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSMedicationUse.header.language","EHDSMedicationUse.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationUse.medication","EHDSMedicationUse.medication","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication {[]} {[]}
","Describes the medicinal product. Depending on the use case, it may be a generic description of medication type, or a specific instance.","Describes the medicinal product. Depending on the use case, it may be a generic description of medication type, or a specific instance.","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationUse.medication",1,1,"",""
"EHDSMedicationUse.reason[x]","EHDSMedicationUse.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}","Coded reason for the use of the medication (typically diagnosis or symptom)","Coded reason for the use of the medication (typically diagnosis or symptom)","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationUse.reason[x]",0,*,"",""
"EHDSMedicationUse.reasonText","EHDSMedicationUse.reasonText","","","",0,1,"","","","string {[]} {[]}
","Reason for the use of the medication (diagnosis, observation, or a procedure) as free text.","Reason for the use of the medication (diagnosis, observation, or a procedure) as free text.","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationUse.reasonText",0,1,"",""
"EHDSMedicationUse.dosageInstructions","EHDSMedicationUse.dosageInstructions","","","",1,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosaging {[]} {[]}
","Details of how medication is/was taken or should be taken. Example: 1 tablet every 24h, for 10 days. For factual single administration tracking, all repeats are registered as separate instances.","Details of how medication is/was taken or should be taken. Example: 1 tablet every 24h, for 10 days. For factual single administration tracking, all repeats are registered as separate instances.","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationUse.dosageInstructions",1,*,"",""
"EHDSMedicationUse.timeOfUse[x]","EHDSMedicationUse.timeOfUse[x]","","","",0,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","The time frame for which the medication use statement applies. In case of unbounded period (continuous therapy), the Period end element will be valued with an exceptional value.","The time frame for which the medication use statement applies. In case of unbounded period (continuous therapy), the Period end element will be valued with an exceptional value.","","eHN PS Guideline, ISO IPS, MyHealth@EU","","","","","","","",,,,,"",,,,"EHDSMedicationUse.timeOfUse[x]",0,1,"",""
"EHDSMedicationUse.relatedRequest","EHDSMedicationUse.relatedRequest","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationPrescription {[]} {[]}
","Link to prescriptions related to this use statement","Link to prescriptions related to this use statement","","","","","","","","","",,,,,"",,,,"EHDSMedicationUse.relatedRequest",0,*,"",""
"EHDSMedicationUse.relatedDispense","EHDSMedicationUse.relatedDispense","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationDispense {[]} {[]}
","Link to a dispense record related to this use statement, not applicable to explicit administration records","Link to a dispense record related to this use statement, not applicable to explicit administration records","","","","","","","","","",,,,,"",,,,"EHDSMedicationUse.relatedDispense",0,*,"",""
"EHDSMedicationUse.note","EHDSMedicationUse.note","","","",0,1,"","","","string {[]} {[]}
","Textual information about the intended use or administration of the medication","Textual information about the intended use or administration of the medication","","","","","","","","","",,,,,"",,,,"EHDSMedicationUse.note",0,1,"",""
