"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDeviceUse","EHDSDeviceUse","","","",0,*,"","","","null {[]} {[]}
","Device use model","EHDS refined base model for device use information","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDeviceUse.header","EHDSDeviceUse.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSDeviceUse.header.subject","EHDSDeviceUse.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSDeviceUse.header.identifier","EHDSDeviceUse.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSDeviceUse.header.author[x]","EHDSDeviceUse.header.author[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The author of the device usage statement.","The author of the device usage statement.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSDeviceUse.header.date","EHDSDeviceUse.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing","Date and optionally time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSDeviceUse.header.status","EHDSDeviceUse.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Current status of the device usage (e.g. active, completed, etc).","Current status of the device usage (e.g. active, completed, etc).","","","","","","","","","",,"preferred","HL7 Device Use Statement Status or HL7 Device Usage Status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSDeviceUse.header.source","EHDSDeviceUse.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSDeviceUse.header.language","EHDSDeviceUse.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSDeviceUse.periodOfUse","EHDSDeviceUse.periodOfUse","","","",0,1,"","","","Period {[]} {[]}
","The period of time during which the device was implanted in the patient or the external device was in use.","The period of time during which the device was implanted in the patient or the external device was in use.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.periodOfUse",0,1,"",""
"EHDSDeviceUse.device[x]","EHDSDeviceUse.device[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The details of the device used.","The details of the device used.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.device[x]",1,1,"",""
"EHDSDeviceUse.bodySite","EHDSDeviceUse.bodySite","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Anatomical location of the device. May include laterality.","Anatomical location of the device. May include laterality.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.bodySite",0,1,"",""
"EHDSDeviceUse.reason[x]","EHDSDeviceUse.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}","Reason or justification for the use of the device.","Reason or justification for the use of the device.","","eHN PS Guideline, ISO IPS.","","","","","","","",,,,,"",,,,"EHDSDeviceUse.reason[x]",0,*,"",""
"EHDSDeviceUse.note","EHDSDeviceUse.note","","","",0,1,"","","","string {[]} {[]}
","Note about the device statement that were not represented at all or sufficiently in one of the attributes provided in a class. These may include for example a comment, an instruction, or a note associated with the statement.","Note about the device statement that were not represented at all or sufficiently in one of the attributes provided in a class. These may include for example a comment, an instruction, or a note associated with the statement.","","","","","","","","","",,,,,"",,,,"EHDSDeviceUse.note",0,1,"",""
