"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImagingReport","EHDSImagingReport","","","",0,*,"","","","null {[]} {[]}
","Imaging report model","Imaging report reflects the observations and interpretations of one or more imaging studies, contains elements such as the reason why the study is requested, relevant contextual medical information, the modality used to acquire images and its settings, procedures and body localisations that were used, a description of the observations and findings, exposure information, conclusion and advice.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImagingReport.header","EHDSImagingReport.header","","","",1,1,"","","","Base {[]} {[]}
","Imaging Report header","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSImagingReport.header.subject","EHDSImagingReport.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSImagingReport.header.identifier","EHDSImagingReport.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier of the document","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSImagingReport.header.author[x]","EHDSImagingReport.header.author[x]","","","",1,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The author of the report.","The author of the report.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSImagingReport.header.date","EHDSImagingReport.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date of finalising/issuing the document","Date and optionally time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSImagingReport.header.status","EHDSImagingReport.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the document","Status of the document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSImagingReport.header.source","EHDSImagingReport.header.source","","","",0,0,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSImagingReport.header.language","EHDSImagingReport.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSImagingReport.header.documentType","EHDSImagingReport.header.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of document (e.g. 18748-4 Diagnostic imaging study)","Type of document (e.g. 18748-4 Diagnostic imaging study)","","","","","","","","","",,"preferred","LOINC","","",,,,"EHDSDocument.header.documentType",1,1,"",""
"EHDSImagingReport.header.documentTitle","EHDSImagingReport.header.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'","Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.documentTitle",1,1,"",""
"EHDSImagingReport.header.period","EHDSImagingReport.header.period","","","",0,1,"","","","Period {[]} {[]}
","Time of service that is being documented","Time of service that is being documented","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.period",0,1,"",""
"EHDSImagingReport.header.version","EHDSImagingReport.header.version","","","",0,1,"","","","string {[]} {[]}
","Business version of the document. The exact algorithm for versioning is decided by the producer/custodian.","Business version of the document. The exact algorithm for versioning is decided by the producer/custodian.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.version",0,1,"",""
"EHDSImagingReport.header.attestation","EHDSImagingReport.header.attestation","","","",0,*,"","","","Base {[]} {[]}
","Document attestation details","Document attestation details","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation",0,*,"",""
"EHDSImagingReport.header.attestation.attester[x]","EHDSImagingReport.header.attestation.attester[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Attester who validated the document. Multiple attesters could be provided.","Attester who validated the document. Multiple attesters could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.attester[x]",1,1,"",""
"EHDSImagingReport.header.attestation.datetime","EHDSImagingReport.header.attestation.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of the approval of the document by Attester.","Date and time of the approval of the document by Attester.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.attestation.datetime",1,1,"",""
"EHDSImagingReport.header.legalAuthentication","EHDSImagingReport.header.legalAuthentication","","","",0,*,"","","","Base {[]} {[]}
","Document legal authentication details","Document legal authentication details","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication",0,*,"",""
"EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x]","EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}","The person or organisation taking responsibility for the medical content of the document (typically the person who signs it)","The person or organisation taking responsibility for the medical content of the document (typically the person who signs it)","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication.legalAuthenticator[x]",1,1,"",""
"EHDSImagingReport.header.legalAuthentication.datetime","EHDSImagingReport.header.legalAuthentication.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time when the document was authorised.","Date and time when the document was authorised.","","","","","","","","","",,,,,"",,,,"EHDSDocument.header.legalAuthentication.datetime",1,1,"",""
