Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22464	-	0	0	0	0	0	0	12	75	0	0	0	0	0	0	0	1	0	0	93	229	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	9	0	10	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	66	783	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	4	0	44	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	67	183	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	4	0	23	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	67	144	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	5	0	22	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	92	176	0	0	1	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	3	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	3	0	33	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	64	127	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	5	0	15	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	74	180	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	3	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	40	81	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	3	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	49	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	4	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	57	107	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5097	3	0	16	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	63	126	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26590	7	0	57	0	0	0	0	0	68	0	0	0	0	0	0	0	1	0	0	228	175	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	101	110	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	3	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	51	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18306	8	0	23	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	164	120	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	7	0	7	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	154	120	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	7	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	55	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	4	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	68	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	4	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	74	80	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	4	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	48	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	3	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	50	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	27869	6	0	24	1	0	0	0	0	43	0	0	0	0	0	0	0	1	0	0	229	300	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	5	0	9	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	135	215	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	5907	3	1	7	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	51	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	3	0	23	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	68	240	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	65	0	18	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	169	211	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	6	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6233	6	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	66	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17920	9	0	11	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	149	124	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4096	6	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	53	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7060	6	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	73	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17706	8	0	15	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	157	115	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5372	5	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	46	67	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	23361	11	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	204	151	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	5	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	47	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	5	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	43	62	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5029	5	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	49	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	27970	11	0	15	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	217	183	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3128	5	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	33	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7082	5	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	69	73	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4164	5	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7583	7	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	97	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	4	0	7	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	48	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7550	6	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	71	67	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3949	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	37	56	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4284	5	0	8	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	47	82	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	7	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	4	0	7	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	26	79	0	0	0	1	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	3085	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/howto.md	8792	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-notes.md	1816	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSMedicationStatement-intro.md	398	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseDispensation.md	3545	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCasePatientSummary.md	1649	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCasePrescription.md	3374	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/knownIssues.md	128	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseHospitalDischargeReport.md	1131	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabReport.md	1663	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/scope.md	1974	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseMedicalImages.md	1011	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	299	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	3705	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/wow.md	1067	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/24px.svg	234	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	26126	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
