"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSObservation","EHDSObservation","","","",0,*,"","","","null {[]} {[]}
","Observation model","EHDS refined base model for Observation information","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSObservation.header","EHDSObservation.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSObservation.header.subject","EHDSObservation.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient who is receiving health care. This patient might be different from the direct subject of the observation.","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSObservation.header.identifier","EHDSObservation.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSObservation.header.author[x]","EHDSObservation.header.author[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) responsible for the provided information.","Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSObservation.header.date","EHDSObservation.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing","Date and optionally time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSObservation.header.status","EHDSObservation.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,"preferred","HL7 Observation status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSObservation.header.source","EHDSObservation.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSObservation.header.language","EHDSObservation.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSObservation.header.directSubject[x]","EHDSObservation.header.directSubject[x]","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatientAnimal {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}","The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device","The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device","","","","","","","","","",,,,,"",,,,"EHDSObservation.header.directSubject[x]",0,1,"",""
"EHDSObservation.observationDate[x]","EHDSObservation.observationDate[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Clinically relevant time or time period for the observation","Clinically relevant time or time period for the observation","","","","","","","","","",,,,,"",,,,"EHDSObservation.observationDate[x]",1,1,"",""
"EHDSObservation.type","EHDSObservation.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Observation type. Code and name representing the type of the observation using the agreed code systems.","Observation type. Code and name representing the type of the observation using the agreed code systems.","","","","","","","","","",,"preferred","LOINC, NPU, SNOMED CT","","",,,,"EHDSObservation.type",1,1,"",""
"EHDSObservation.originalName","EHDSObservation.originalName","","","",0,1,"","","","string {[]} {[]}
","Original (conventional) name of the observation as used in the local laboratory or clinical system.","Original (conventional) name of the observation as used in the local laboratory or clinical system.","","","","","","","","","",,,,,"",,,,"EHDSObservation.originalName",0,1,"",""
"EHDSObservation.method","EHDSObservation.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Observation method","Observation method (measurement principle) to obtain the result.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSObservation.method",0,1,"",""
"EHDSObservation.specimen","EHDSObservation.specimen","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimen {[]} {[]}
","Specimen used for this observation.","Specimen used for this observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.specimen",0,1,"",""
"EHDSObservation.order","EHDSObservation.order","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSServiceRequest {[]} {[]}
","Identifies order and order placer this observation belongs to","Identifies order and order placer this observation belongs to","","","","","","","","","",,,,,"",,,,"EHDSObservation.order",0,1,"",""
"EHDSObservation.performer[x]","EHDSObservation.performer[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson {[]} {[]}","Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.","Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.","","","","","","","","","",,,,,"",,,,"EHDSObservation.performer[x]",0,*,"",""
"EHDSObservation.bodySite","EHDSObservation.bodySite","","","",0,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Anatomic location and laterality where the observation was performed.","Anatomic location and laterality where the observation was performed.","","","","","","","","","",,,,,"",,,,"EHDSObservation.bodySite",0,1,"",""
"EHDSObservation.result","EHDSObservation.result","","","",1,1,"","","","Base {[]} {[]}
","Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.","","","","","","","","","",,,,,"",,,,"EHDSObservation.result",1,1,"",""
"EHDSObservation.result.value[x]","EHDSObservation.result.value[x]","","","",0,1,"","","","string {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}CodeableConcept {[]} {[]}","Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.","Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.","","","","","","","","","",,"preferred","UCUM for units, SNOMED CT for coded results","","",,,,"EHDSObservation.result.value[x]",0,1,"",""
