Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22584	-	0	0	0	0	0	0	12	81	0	0	0	0	0	0	0	0	0	0	86	137	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	9	0	6	0	0	0	0	0	73	0	0	1	0	0	1	0	1	0	0	56	787	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1583	3	0	34	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	53	195	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	3111	3	0	27	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	49	121	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5901	4	0	16	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	54	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9754	5	0	19	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	81	160	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	7	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	79	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3443	4	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	99	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5331	4	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	68	122	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8901	4	0	15	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	87	169	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	4	0	13	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	40	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	4127	4	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	45	100	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4988	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	49	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	41	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	56	116	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4818	4	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	58	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26977	6	0	36	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	278	287	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9991	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	96	148	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11568	5	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	101	146	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11372	4	0	14	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	120	238	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	5	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	69	137	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	6	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	65	135	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	4	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	68	91	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	3	0	4	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	44	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	27677	8	0	18	0	0	0	0	0	45	0	0	0	0	0	0	0	1	0	0	238	330	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18974	5	0	12	1	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	140	144	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	6156	4	0	8	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	54	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4978	3	0	31	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	86	163	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17263	6	0	11	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	164	132	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	4	0	4	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	42	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6233	4	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	66	73	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	17920	5	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	151	158	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4132	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	68	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7778	4	0	9	1	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	80	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	17808	5	0	15	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	154	136	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5370	3	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	45	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	29381	6	0	0	0	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	262	264	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	3	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	3	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	43	55	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	33713	8	0	21	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	266	217	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3347	3	0	7	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	41	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	8124	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	80	114	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4290	3	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	37	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7329	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	80	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	3	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30	62	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	11027	4	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	101	83	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4284	3	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	48	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	2	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	3	0	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	48	0	0	0	1	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2921	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/useCaseLabOrder.md	746	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/obligationsLabReport.md	1060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSLaboratoryObservation-intro.md	3135	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-EHDSPatientSummary-intro.md	1322	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
