Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22551	-	0	0	0	0	0	0	12	76	0	0	0	0	0	0	0	0	0	0	83	157	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	24	0	7	1	0	1	0	0	72	0	0	1	0	0	0	0	1	0	0	57	1721	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1583	19	0	41	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	43	148	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	3111	9	0	36	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	37	100	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5901	6	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	53	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9754	7	0	18	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	88	162	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	5	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	39	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3443	5	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	39	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5331	5	0	71	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	68	125	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8901	7	0	19	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	73	217	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	4	0	13	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	39	82	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	4127	5	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	44	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4988	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	6	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	54	148	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4818	5	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	60	135	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26977	13	0	50	0	0	0	1	0	41	0	0	0	0	0	0	0	0	0	0	209	332	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9991	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	94	139	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	11568	8	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	1	0	0	99	165	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11372	8	0	18	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	118	160	0	0	0	3	1	0
