Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21328	-	0	0	0	0	0	0	12	60	0	0	0	0	0	0	0	1	0	0	75	132	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	9	0	8	0	0	0	1	0	70	0	0	0	0	0	0	0	0	0	0	49	908	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	4	0	56	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	46	147	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	5	0	44	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	49	130	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	6	0	18	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	60	134	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	9	0	21	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	80	181	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	10	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	35	97	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3241	7	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	5	0	23	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	71	164	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	6	0	21	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	84	182	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	4	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	51	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6174	5	0	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	56	119	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	5	0	17	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	128	0	0	0	3	0	0
