"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSFamilyMemberHistory","EHDSFamilyMemberHistory","","","",0,*,"","","","null {[]} {[]}
","Family member history model","EHDS refined base model for family member history","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSFamilyMemberHistory.header","EHDSFamilyMemberHistory.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSFamilyMemberHistory.header.subject","EHDSFamilyMemberHistory.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","The person whose family member's medical history is described.","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSFamilyMemberHistory.header.identifier","EHDSFamilyMemberHistory.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSFamilyMemberHistory.header.authorship","EHDSFamilyMemberHistory.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSFamilyMemberHistory.header.authorship.author[x]","EHDSFamilyMemberHistory.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSFamilyMemberHistory.header.authorship.datetime","EHDSFamilyMemberHistory.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSFamilyMemberHistory.header.lastUpdate","EHDSFamilyMemberHistory.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSFamilyMemberHistory.header.status","EHDSFamilyMemberHistory.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSFamilyMemberHistory.header.statusReason[x]","EHDSFamilyMemberHistory.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSFamilyMemberHistory.header.language","EHDSFamilyMemberHistory.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSFamilyMemberHistory.header.version","EHDSFamilyMemberHistory.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
