"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDispenseDecline","EHDSDispenseDecline","","","",0,*,"","","","null {[]} {[]}
","Dispense decline","Explicit statement about declining the dispense request (prescription), usually recorded in order to communicate the issue back to the prescriber. Reasons for declining a dispense may vary, but typically this statement is only sent when a following action is expected on the prescriber’s side (cancelling or changing the problematic prescription or the whole treatment).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDispenseDecline.header","EHDSDispenseDecline.header","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationDispenseHeader {[]} {[]}
","Header level metadata about the dispense decline.","Header level metadata about the dispense decline.","","","","","","","","","",,,,,"",,,,"EHDSDispenseDecline.header",1,1,"",""
"EHDSDispenseDecline.header.subject","EHDSDispenseDecline.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Patient who the medication was prescribed to. [Used for searching]","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.subject",1,1,"",""
"EHDSDispenseDecline.header.authorship","EHDSDispenseDecline.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.authorship",1,*,"",""
"EHDSDispenseDecline.header.authorship.author[x]","EHDSDispenseDecline.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","The person who dispensed the product, and takes the responsibility of the dispensation or declining the dispense. [Used for searching]","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.authorship.author[x]",1,1,"",""
"EHDSDispenseDecline.header.authorship.datetime","EHDSDispenseDecline.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","The time of recording the dispense or declining the request. [Used for searching]","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.authorship.datetime",1,1,"",""
"EHDSDispenseDecline.header.lastUpdate","EHDSDispenseDecline.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.lastUpdate",0,1,"",""
"EHDSDispenseDecline.header.status","EHDSDispenseDecline.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the dispense. In case of declining a dispense, the status should be 'declined'. [Used for searching]","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.status",1,1,"",""
"EHDSDispenseDecline.header.statusReason[x]","EHDSDispenseDecline.header.statusReason[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for not dispensing the prescribed medication","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.statusReason[x]",0,1,"",""
"EHDSDispenseDecline.header.language","EHDSDispenseDecline.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSCommonHeader.language",0,1,"",""
"EHDSDispenseDecline.header.version","EHDSDispenseDecline.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.version",0,1,"",""
"EHDSDispenseDecline.header.identifier","EHDSDispenseDecline.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the dispense. [Used for searching]","Business identifier(s) for the dispense. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispenseHeader.identifier",1,*,"",""
"EHDSDispenseDecline.relatedRequest","EHDSDispenseDecline.relatedRequest","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationPrescription {[]} {[]}
","The single-line prescription or prescription line item that was declined by the dispenser. [Used for searching]","The single-line prescription or prescription line item that was declined by the dispenser. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDispenseDecline.relatedRequest",1,*,"",""
"EHDSDispenseDecline.comment","EHDSDispenseDecline.comment","","","",0,1,"","","","string {[]} {[]}
","Additional information about why the dispensation was declined.","Additional information about why the dispensation was declined.","","","","","","","","","",,,,,"",,,,"EHDSDispenseDecline.comment",0,1,"",""
