"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationAdministration","EHDSMedicationAdministration","","","",0,*,"","","","null {[]} {[]}
","Medication administration model","C.18 - EHDS refined base model for Medication administration","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationAdministration.identifier","EHDSMedicationAdministration.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","C.18.1 - Identifier","Medication administration  identifier","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.identifier",0,*,"",""
"EHDSMedicationAdministration.status","EHDSMedicationAdministration.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","C.18.2 - Status","Will generally be set to show that the administration has been completed, but might include other sttus codes (e.g. completed, not-done, on-hold, in-progress, unknown)","","","","","","","","","",,"preferred","HL7 MedicationAdimnistrationStatusCodes","","",,,,"EHDSMedicationAdministration.status",1,1,"",""
"EHDSMedicationAdministration.statusReason","EHDSMedicationAdministration.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.18.3 - Status reason","Reason administration not performed","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSMedicationAdministration.statusReason",0,*,"",""
"EHDSMedicationAdministration.medication","EHDSMedicationAdministration.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedication]]}
","C.18.4 - Medication","Administered medication","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.medication",1,1,"",""
"EHDSMedicationAdministration.occurance[x]","EHDSMedicationAdministration.occurance[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","C.18.5 - Occurance","Specific date/time or interval of time during which the administration took place (or did not take place)","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.occurance[x]",1,1,"",""
"EHDSMedicationAdministration.reason","EHDSMedicationAdministration.reason","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation]]}
","C.18.6 - Reason","Condition or observation that supports why the medication was administered","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.reason",0,*,"",""
"EHDSMedicationAdministration.note","EHDSMedicationAdministration.note","","","",0,1,"","","","Narrative {[]} {[]}
","C.18.7 - Note","Information about the administration","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.note",0,1,"",""
"EHDSMedicationAdministration.dosage","EHDSMedicationAdministration.dosage","","","",0,1,"","","","Base {[]} {[]}
","C.18.8 - Dosage","Details of how medication was taken","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage",0,1,"",""
"EHDSMedicationAdministration.dosage.dosageDescription","EHDSMedicationAdministration.dosage.dosageDescription","","","",0,1,"","","","Narrative {[]} {[]}
","C.18.8.1 - Dosage description","Free text dosage instructions","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage.dosageDescription",0,1,"",""
"EHDSMedicationAdministration.dosage.site","EHDSMedicationAdministration.dosage.site","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.18.8.2 - Site","Body site administered to","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSMedicationAdministration.dosage.site",0,1,"",""
"EHDSMedicationAdministration.dosage.route","EHDSMedicationAdministration.dosage.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.18.8.3 - Route","Path of substance into body","","","","","","","","","",,"preferred","SNOMED CT, EDQM","","",,,,"EHDSMedicationAdministration.dosage.route",0,1,"",""
"EHDSMedicationAdministration.dosage.method","EHDSMedicationAdministration.dosage.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.18.8.4 - Method","How drug was administered","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSMedicationAdministration.dosage.method",0,1,"",""
"EHDSMedicationAdministration.dosage.dose","EHDSMedicationAdministration.dosage.dose","","","",0,1,"","","","Quantity {[]} {[]}
","C.18.8.5 - Dose","Amount of medication per dose","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage.dose",0,1,"",""
"EHDSMedicationAdministration.dosage.rate[x]","EHDSMedicationAdministration.dosage.rate[x]","","","",0,1,"","","","Ratio {[]} {[]}
Quantity {[]} {[]}","C.18.8.6 - Rate","Dose quantity per unit of time","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage.rate[x]",0,1,"",""
"EHDSMedicationAdministration.dosage.patient","EHDSMedicationAdministration.dosage.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient]]}
","C.18.9 - Patient","The patient who has the allergy or intolerance.","","","","","","","","","",,,,,"",,,,"EHDSMedicationAdministration.dosage.patient",1,1,"",""
