"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatientSummaryBody","EHDSPatientSummaryBody","","","",0,*,"","","","null {[]} {[]}
","Patient summary body model","EHDS model for Patient Summary body data elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatientSummaryBody.alerts","EHDSPatientSummaryBody.alerts","","","",1,1,"","","","Base {[]} {[]}
","Section: Alerts.","Information about substantial alerts or warnings that health professionals should be aware of.","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts",1,1,"",""
"EHDSPatientSummaryBody.alerts.dataAbsentReason","EHDSPatientSummaryBody.alerts.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for absence of data","Reason for absence of data","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.dataAbsentReason",0,1,"",""
"EHDSPatientSummaryBody.alerts.medicalAlert","EHDSPatientSummaryBody.alerts.medicalAlert","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAlertFlag {[]} {[]}
","Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.","Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.medicalAlert",0,*,"",""
"EHDSPatientSummaryBody.allergiesAndIntolerances","EHDSPatientSummaryBody.allergiesAndIntolerances","","","",1,1,"","","","Base {[]} {[]}
","Section: Allergies and intolerances","Section: Allergies and intolerances","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.allergiesAndIntolerances",1,1,"",""
"EHDSPatientSummaryBody.allergiesAndIntolerances.dataAbsentReason","EHDSPatientSummaryBody.allergiesAndIntolerances.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for absence of data (indicates whether the person is known to have no allergies or the data is considered incomplete)","Reason for absence of data (indicates whether the person is known to have no allergies or the data is considered incomplete)","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.allergiesAndIntolerances.dataAbsentReason",0,1,"",""
"EHDSPatientSummaryBody.allergiesAndIntolerances.allergy","EHDSPatientSummaryBody.allergiesAndIntolerances.allergy","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAllergyIntolerance {[]} {[]}
","Allergy or intolerance information","Allergy or intolerance information","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.allergiesAndIntolerances.allergy",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory","EHDSPatientSummaryBody.medicalHistory","","","",0,1,"","","","Base {[]} {[]}
","Section: Medical History.","This section may provide both synthetic anamnesis (e.g. description of phases of the pathology as a chronological summary of clustered clinical information) and anecdotal evidence that clinicians can collect from the patient, and can read in a narrative form.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.pastProblems","EHDSPatientSummaryBody.medicalHistory.pastProblems","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","Problems or diagnoses that the patient suffered in the past, and which have been resolved, closed or declared as inactive (not included in current problems or diagnosis)","Problems or diagnoses that the patient suffered in the past, and which have been resolved, closed or declared as inactive (not included in current problems or diagnosis)","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.pastProblems",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory.description","EHDSPatientSummaryBody.medicalHistory.description","","","",0,1,"","","","string {[]} {[]}
","Narrative description of past problems.","Narrative description of past problems.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.description",0,1,"",""
"EHDSPatientSummaryBody.immunisations","EHDSPatientSummaryBody.immunisations","","","",0,1,"","","","Base {[]} {[]}
","Section: Immunisations.","The primary purpose is to enable communication of a patient's immunization status. The section should include current immunization status and may contain the entire immunization history that is relevant to the period of time being summarized. Adverse reactions against vaccines should be documented in the allergy section.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.immunisations",0,1,"",""
"EHDSPatientSummaryBody.immunisations.vaccination","EHDSPatientSummaryBody.immunisations.vaccination","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImmunization {[]} {[]}
","Immunizations given to the patient and their status at the point of care.","Immunizations given to the patient and their status at the point of care.","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.immunisations.vaccination",0,*,"",""
"EHDSPatientSummaryBody.currentProblems","EHDSPatientSummaryBody.currentProblems","","","",1,1,"","","","Base {[]} {[]}
","Section: Current medical problems.","Conditions that are important to be known for a health professional during a health encounter.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.currentProblems",1,1,"",""
"EHDSPatientSummaryBody.currentProblems.dataAbsentReason","EHDSPatientSummaryBody.currentProblems.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for absence of data","Reason for absence of data","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.currentProblems.dataAbsentReason",0,1,"",""
"EHDSPatientSummaryBody.currentProblems.healthConditions","EHDSPatientSummaryBody.currentProblems.healthConditions","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","Health conditions affecting the health of the patient.","Health conditions affecting the health of the patient.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.currentProblems.healthConditions",0,*,"",""
"EHDSPatientSummaryBody.medicalDevicesAndImplants","EHDSPatientSummaryBody.medicalDevicesAndImplants","","","",1,1,"","","","Base {[]} {[]}
","Section: Medical devices and implants","Section: Medical devices and implants","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalDevicesAndImplants",1,1,"",""
"EHDSPatientSummaryBody.medicalDevicesAndImplants.dataAbsentReason","EHDSPatientSummaryBody.medicalDevicesAndImplants.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for absence of data","Reason for absence of data","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalDevicesAndImplants.dataAbsentReason",0,1,"",""
"EHDSPatientSummaryBody.medicalDevicesAndImplants.medicalDevice","EHDSPatientSummaryBody.medicalDevicesAndImplants.medicalDevice","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDeviceUse {[]} {[]}
","Describes the patient’s implanted and external medical devices and equipment that their health status depends on. Includes devices (such as cardiac pacemakers, implantable defibrillator, prothesis, ferromagnetic bone implants etc.) that are important to know by the HP.","Describes the patient’s implanted and external medical devices and equipment that their health status depends on. Includes devices (such as cardiac pacemakers, implantable defibrillator, prothesis, ferromagnetic bone implants etc.) that are important to know by the HP.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalDevicesAndImplants.medicalDevice",0,*,"",""
"EHDSPatientSummaryBody.procedures","EHDSPatientSummaryBody.procedures","","","",1,1,"","","","Base {[]} {[]}
","Section: Procedures","Section: Procedures","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.procedures",1,1,"",""
"EHDSPatientSummaryBody.procedures.dataAbsentReason","EHDSPatientSummaryBody.procedures.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for absence of data","Reason for absence of data","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.procedures.dataAbsentReason",0,1,"",""
"EHDSPatientSummaryBody.procedures.procedure","EHDSPatientSummaryBody.procedures.procedure","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSProcedure {[]} {[]}
","Major procedures.","Major procedures.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.procedures.procedure",0,*,"",""
"EHDSPatientSummaryBody.medicationSummary","EHDSPatientSummaryBody.medicationSummary","","","",1,1,"","","","Base {[]} {[]}
","Section: Medication Summary.","Current and relevant past medicine.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicationSummary",1,1,"",""
"EHDSPatientSummaryBody.medicationSummary.dataAbsentReason","EHDSPatientSummaryBody.medicationSummary.dataAbsentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for absence of data","Reason for absence of data","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicationSummary.dataAbsentReason",0,1,"",""
"EHDSPatientSummaryBody.medicationSummary.medicationTreatment","EHDSPatientSummaryBody.medicationSummary.medicationTreatment","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationAdministration {[]} {[]}
","Medication treatment/prescription relevant for this patient summary. Typically, medications whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not.","Medication treatment/prescription relevant for this patient summary. Typically, medications whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicationSummary.medicationTreatment",0,*,"",""
"EHDSPatientSummaryBody.functionalStatus","EHDSPatientSummaryBody.functionalStatus","","","",0,1,"","","","Base {[]} {[]}
","Section: Functional status","Section: Functional status","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.functionalStatus",0,1,"",""
"EHDSPatientSummaryBody.functionalStatus.functionalStatusAssessment","EHDSPatientSummaryBody.functionalStatus.functionalStatusAssessment","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSFunctionalStatus {[]} {[]}
","An individual’s ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being","An individual’s ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.functionalStatus.functionalStatusAssessment",0,*,"",""
"EHDSPatientSummaryBody.socialHistory","EHDSPatientSummaryBody.socialHistory","","","",0,1,"","","","Base {[]} {[]}
","Section: Social history.","Observations on social factors such as alcohol consumption or smoking. From the healthcare perspective, life-style factors relate to well-being but can also provide a source of risk factors.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.socialHistory",0,1,"",""
"EHDSPatientSummaryBody.socialHistory.description","EHDSPatientSummaryBody.socialHistory.description","","","",1,1,"","","","string {[]} {[]}
","Textual description of the social history.","Textual description of the social history.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.socialHistory.description",1,1,"",""
"EHDSPatientSummaryBody.socialHistory.observation","EHDSPatientSummaryBody.socialHistory.observation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Social history observations related to health","Health related lifestyle factors or lifestyle observations and social determinants of health. Example: cigarette smoker, alcohol consumption","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.socialHistory.observation",0,*,"",""
"EHDSPatientSummaryBody.pregnancyHistory","EHDSPatientSummaryBody.pregnancyHistory","","","",0,1,"","","","Base {[]} {[]}
","Section: Pregnancy history","Section: Pregnancy history","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory",0,1,"",""
"EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus","EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus","","","",0,1,"","","","Base {[]} {[]}
","Current pregnancy status","Current pregnancy status","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus",0,1,"",""
"EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus.status","EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus.status","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Current state at the date the observation was made: e.g. pregnant, not pregnant, unknown","Current state at the date the observation was made: e.g. pregnant, not pregnant, unknown","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus.status",0,*,"",""
"EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus.expectedDateOfDelivery","EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus.expectedDateOfDelivery","","","",0,1,"","","","dateTime {[]} {[]}
","Expected date of delivery","Date on which the woman is due to give birth.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.currentPregnancyStatus.expectedDateOfDelivery",0,1,"",""
"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies","EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies","","","",0,1,"","","","Base {[]} {[]}
","History of previous pregnancies","History of previous pregnancies","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies",0,1,"",""
"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.status","EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.status","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Previous pregnancies status: Yes, previous pregnancies; No, previous pregnancies; Unknown","Previous pregnancies status: Yes, previous pregnancies; No, previous pregnancies; Unknown","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.status",0,1,"",""
"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description","EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description","","","",0,*,"","","","Base {[]} {[]}
","Previous pregnancy's descriptions in detail","Previous pregnancy's descriptions in detail","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description",0,*,"",""
"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description.outcome","EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description.outcome","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Outcome of the pregnancy","Outcome of the pregnancy","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description.outcome",0,1,"",""
"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description.numberOfChildren","EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description.numberOfChildren","","","",0,1,"","","","integer {[]} {[]}
","Number of children/fetuses in this specific pregnancy","Number of children/fetuses in this specific pregnancy","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.pregnancyHistory.previousPregnancies.description.numberOfChildren",0,1,"",""
"EHDSPatientSummaryBody.patientProvidedData","EHDSPatientSummaryBody.patientProvidedData","","","",0,1,"","","","Base {[]} {[]}
","Section: Patient provided data","Section: Patient provided data","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.patientProvidedData",0,1,"",""
"EHDSPatientSummaryBody.patientProvidedData.travelHistory","EHDSPatientSummaryBody.patientProvidedData.travelHistory","","","",0,*,"","","","Base {[]} {[]}
","captures relevant information about the patient's recent travel history that may be of clinical relevance — particularly in relation to exposure to infectious diseases, epidemiological risks, or environmental factors. The intent is to support clinical decision-making and risk assessment, especially in contexts such as outbreaks or endemic disease regions.","captures relevant information about the patient's recent travel history that may be of clinical relevance — particularly in relation to exposure to infectious diseases, epidemiological risks, or environmental factors. The intent is to support clinical decision-making and risk assessment, especially in contexts such as outbreaks or endemic disease regions.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.patientProvidedData.travelHistory",0,*,"",""
"EHDSPatientSummaryBody.patientProvidedData.travelHistory.country","EHDSPatientSummaryBody.patientProvidedData.travelHistory.country","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Country code","Country code","","","","","","","","","",,"preferred","ISO 3166","","",,,,"EHDSPatientSummaryBody.patientProvidedData.travelHistory.country",0,1,"",""
"EHDSPatientSummaryBody.patientProvidedData.travelHistory.period","EHDSPatientSummaryBody.patientProvidedData.travelHistory.period","","","",0,*,"","","","Period {[]} {[]}
","Date of entry and departure","Date of entry and departure","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.patientProvidedData.travelHistory.period",0,*,"",""
