"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatientSummaryBody2","EHDSPatientSummaryBody2","","","",0,*,"","","","null {[]} {[]}
","Patient summary body model 2","EHDS model for Patient Summary body data elements 2","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatientSummaryBody2.alerts","EHDSPatientSummaryBody2.alerts","","","",1,1,"","","","Base {[]} {[]}
","Information about allergies, intolerances and other substantial alerts or warnings that health professionals should be aware of. ","Information about allergies, intolerances and other substantial alerts or warnings that health professionals should be aware of.","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.alerts",1,1,"",""
"EHDSPatientSummaryBody2.alerts.allergy","EHDSPatientSummaryBody2.alerts.allergy","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAllergyIntolerance {[]} {[]}
","Allergy or intolerance","Allergy or intolerance","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.alerts.allergy",0,*,"",""
"EHDSPatientSummaryBody2.alerts.medicalAlert","EHDSPatientSummaryBody2.alerts.medicalAlert","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAlertFlag {[]} {[]}
","Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.","Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.alerts.medicalAlert",0,*,"",""
"EHDSPatientSummaryBody2.medicalHistory","EHDSPatientSummaryBody2.medicalHistory","","","",1,1,"","","","Base {[]} {[]}
","This section may provide both synthetic anamnesis (e.g. description of phases of the pathology as a chronological summary of clustered clinical information) and anecdotal evidence that clinicians can collect from the patient, and can read in a narrative form.","This section may provide both synthetic anamnesis (e.g. description of phases of the pathology as a chronological summary of clustered clinical information) and anecdotal evidence that clinicians can collect from the patient, and can read in a narrative form.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.medicalHistory",1,1,"",""
"EHDSPatientSummaryBody2.medicalHistory.vaccination","EHDSPatientSummaryBody2.medicalHistory.vaccination","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImmunization {[]} {[]}
","Immunizations given to the patient and their status at the point of care. The primary purpose is to enable communication of a patient's immunization status. The section should include current immunization status and may contain the entire immunization history that is relevant to the period of time being summarized. Adverse reactions against vaccines should be documented in the allergy section.","Immunizations given to the patient and their status at the point of care. The primary purpose is to enable communication of a patient's immunization status. The section should include current immunization status and may contain the entire immunization history that is relevant to the period of time being summarized. Adverse reactions against vaccines should be documented in the allergy section.","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.medicalHistory.vaccination",0,*,"",""
"EHDSPatientSummaryBody2.medicalHistory.pastProblems","EHDSPatientSummaryBody2.medicalHistory.pastProblems","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","Problems or diagnoses that the patient suffered in the past, and which have been resolved, closed or declared as inactive (not included in current problems or diagnosis)","Problems or diagnoses that the patient suffered in the past, and which have been resolved, closed or declared as inactive (not included in current problems or diagnosis)","","eHN PS Guideline","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.medicalHistory.pastProblems",0,*,"",""
"EHDSPatientSummaryBody2.medicalHistory.text","EHDSPatientSummaryBody2.medicalHistory.text","","","",0,1,"","","","string {[]} {[]}
","This section may provide both synthetic anamnesis (e.g. description of phases of the pathology as a chronological summary of clustered clinical information) and anecdotal evidence that clinicians can collect from the patient, and can read in a narrative form.","This section may provide both synthetic anamnesis (e.g. description of phases of the pathology as a chronological summary of clustered clinical information) and anecdotal evidence that clinicians can collect from the patient, and can read in a narrative form.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.medicalHistory.text",0,1,"",""
"EHDSPatientSummaryBody2.currentProblems","EHDSPatientSummaryBody2.currentProblems","","","",1,1,"","","","Base {[]} {[]}
","Current medical problems section","Current medical problems section","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.currentProblems",1,1,"",""
"EHDSPatientSummaryBody2.currentProblems.healthConditions","EHDSPatientSummaryBody2.currentProblems.healthConditions","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","Health conditions affecting the health of the patient. Conditions that are important to be known for a health professional during a health encounter.","Health conditions affecting the health of the patient. Conditions that are important to be known for a health professional during a health encounter.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.currentProblems.healthConditions",0,*,"",""
"EHDSPatientSummaryBody2.currentProblems.medicalDevicesAndImplants","EHDSPatientSummaryBody2.currentProblems.medicalDevicesAndImplants","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDeviceUse {[]} {[]}
","Describes the patient’s implanted and external medical devices and equipment that their health status depends on. Includes devices (such as cardiac pacemakers, implantable defibrillator, prothesis, ferromagnetic bone implants etc.) that are important to know by the HP.","Describes the patient’s implanted and external medical devices and equipment that their health status depends on. Includes devices (such as cardiac pacemakers, implantable defibrillator, prothesis, ferromagnetic bone implants etc.) that are important to know by the HP.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.currentProblems.medicalDevicesAndImplants",1,*,"",""
"EHDSPatientSummaryBody2.currentProblems.procedures","EHDSPatientSummaryBody2.currentProblems.procedures","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSProcedure {[]} {[]}
","Major procedures.","Major procedures.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.currentProblems.procedures",1,*,"",""
"EHDSPatientSummaryBody2.currentProblems.functionalStatusAssessment","EHDSPatientSummaryBody2.currentProblems.functionalStatusAssessment","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSFunctionalStatus {[]} {[]}
","An individual’s ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being","An individual’s ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.currentProblems.functionalStatusAssessment",0,*,"",""
"EHDSPatientSummaryBody2.medicationSummary","EHDSPatientSummaryBody2.medicationSummary","","","",1,1,"","","","Base {[]} {[]}
","List of medications relevant for this patient summary. All medications that are relevant for the scope of the Patient Summary. Typically, medications whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not.","List of medications relevant for this patient summary. All medications that are relevant for the scope of the Patient Summary. Typically, medications whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.medicationSummary",1,1,"",""
"EHDSPatientSummaryBody2.medicationSummary.medicationTreatment","EHDSPatientSummaryBody2.medicationSummary.medicationTreatment","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationAdministration {[]} {[]}
","Current and relevant past medicine.","Current and relevant past medicine.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.medicationSummary.medicationTreatment",0,*,"",""
"EHDSPatientSummaryBody2.socialHistory","EHDSPatientSummaryBody2.socialHistory","","","",0,1,"","","","Base {[]} {[]}
","To present observations on social factors such as alcohol consumption or smoking. From the healthcare perspective, life-style factors relate to well-being but can also provide a source of risk factors.","To present observations on social factors such as alcohol consumption or smoking. From the healthcare perspective, life-style factors relate to well-being but can also provide a source of risk factors.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.socialHistory",0,1,"",""
"EHDSPatientSummaryBody2.socialHistory.description","EHDSPatientSummaryBody2.socialHistory.description","","","",1,1,"","","","string {[]} {[]}
","Textual description of the social history.","Textual description of the social history.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.socialHistory.description",1,1,"",""
"EHDSPatientSummaryBody2.socialHistory.observation","EHDSPatientSummaryBody2.socialHistory.observation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Social history observations related to health","Health related lifestyle factors or lifestyle observations and social determinants of health. Example: cigarette smoker, alcohol consumption","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.socialHistory.observation",0,*,"",""
"EHDSPatientSummaryBody2.pregnancyHistory","EHDSPatientSummaryBody2.pregnancyHistory","","","",0,1,"","","","Base {[]} {[]}
","Pregnancy history","Pregnancy history","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.pregnancyHistory",0,1,"",""
"EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus","EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus","","","",0,1,"","","","Base {[]} {[]}
","Current pregnancy status","Current pregnancy status","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus",0,1,"",""
"EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus.status","EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus.status","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","Current state at the date the observation was made: e.g. pregnant, not pregnant, unknown","Current state at the date the observation was made: e.g. pregnant, not pregnant, unknown","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus.status",0,*,"",""
"EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus.expectedDateOfDelivery","EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus.expectedDateOfDelivery","","","",0,1,"","","","dateTime {[]} {[]}
","Expected date of delivery","Date on which the woman is due to give birth.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.pregnancyHistory.currentPregnancyStatus.expectedDateOfDelivery",0,1,"",""
"EHDSPatientSummaryBody2.pregnancyHistory.previousPregnancies","EHDSPatientSummaryBody2.pregnancyHistory.previousPregnancies","","","",0,1,"","","","Base {[]} {[]}
","History of previous pregnancies","History of previous pregnancies","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody2.pregnancyHistory.previousPregnancies",0,1,"",""
