Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22708	-	0	0	0	0	1	0	8	71	0	0	0	0	0	0	0	1	0	0	90	144	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	10	0	9	1	0	0	1	0	63	0	0	1	0	0	0	0	1	0	0	56	844	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	6	0	38	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	66	190	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5644	7	0	25	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	65	145	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9340	7	0	26	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	89	190	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	45	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	7	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4994	6	0	33	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	68	121	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	26	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	79	196	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	6	0	17	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	42	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3655	6	0	31	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	44	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4934	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	50	100	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	6	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	56	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5087	4	0	28	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	66	115	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	23	0	86	0	0	0	0	0	82	0	0	1	0	0	0	0	1	0	0	587	707	0	0	0	17	1	1
