Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	21880	-	0	0	0	0	0	0	10	81	0	0	0	0	0	0	0	1	0	0	96	155	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	10	0	7	0	0	0	0	0	89	0	0	1	0	0	0	0	0	0	0	54	1005	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	4	0	28	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	63	216	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4142	4	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	47	136	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	6	0	16	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	83	176	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	5	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	37	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	5	0	13	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	41	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4218	4	0	17	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	55	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9596	4	0	16	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	78	189	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	3	0	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	41	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3652	2	0	12	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	55	115	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5473	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	73	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	3	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	56	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	3	0	16	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	68	139	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73859	17	0	82	1	0	0	0	0	110	0	0	0	0	0	0	0	1	0	0	539	928	0	0	0	21	0	2
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	3	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9490	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	81	122	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	3	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	6	0	19	0	0	0	0	0	28	0	0	1	0	0	0	0	1	0	0	157	160	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12444	5	0	16	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	121	121	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	3	0	10	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	54	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4616	3	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	59	92	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3904	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	56	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6416	3	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	70	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6499	3	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3223	3	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	31755	6	0	15	1	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	250	364	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	15847	4	0	11	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	114	188	0	0	0	3	0	0
