"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDevice","EHDSDevice","","","",0,*,"","","","null {[]} {[]}
","Device model","Model for device information","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDevice.instanceIdentifier","EHDSDevice.instanceIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier of the device instance","Identifier of the device instance","","","","","","","","","",,,,,"",,,,"EHDSDevice.instanceIdentifier",0,*,"",""
"EHDSDevice.udiCarrier","EHDSDevice.udiCarrier","","","",0,*,"","","","Identifier {[]} {[]}
","Unique Device Identifier (UDI) value","Unique Device Identifier (UDI) value","","","","","","","","","",,,,,"",,,,"EHDSDevice.udiCarrier",0,*,"",""
"EHDSDevice.manufacturer","EHDSDevice.manufacturer","","","",0,1,"","","","string {[]} {[]}
","Name of device manufacturer. If the manufacturer code is included in an identifier, manufacturer must correspond to that code.","Name of device manufacturer. If the manufacturer code is included in an identifier, manufacturer must correspond to that code.","","","","","","","","","",,,,,"",,,,"EHDSDevice.manufacturer",0,1,"",""
"EHDSDevice.manufactureDate","EHDSDevice.manufactureDate","","","",0,1,"","","","dateTime {[]} {[]}
","The date and time when the device was manufactured","The date and time when the device was manufactured","","","","","","","","","",,,,,"",,,,"EHDSDevice.manufactureDate",0,1,"",""
"EHDSDevice.expiryDate","EHDSDevice.expiryDate","","","",0,1,"","","","dateTime {[]} {[]}
","The date and time beyond which this device is no longer valid or should not be used (if applicable)","The date and time beyond which this device is no longer valid or should not be used (if applicable)","","","","","","","","","",,,,,"",,,,"EHDSDevice.expiryDate",0,1,"",""
"EHDSDevice.lotNumber","EHDSDevice.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Lot number of device. May be omitted if included in an identifier.","Lot number of device. May be omitted if included in an identifier.","","","","","","","","","",,,,,"",,,,"EHDSDevice.lotNumber",0,1,"",""
"EHDSDevice.serialNumber","EHDSDevice.serialNumber","","","",0,1,"","","","string {[]} {[]}
","Serial number assigned by the manufacturer. May be omitted if included in an identifier.","Serial number assigned by the manufacturer. May be omitted if included in an identifier.","","","","","","","","","",,,,,"",,,,"EHDSDevice.serialNumber",0,1,"",""
"EHDSDevice.name","EHDSDevice.name","","","",0,*,"","","","Base {[]} {[]}
","The name and name type of the device.","The name and name type of the device.","","","","","","","","","",,,,,"",,,,"EHDSDevice.name",0,*,"",""
"EHDSDevice.name.value","EHDSDevice.name.value","","","",1,1,"","","","string {[]} {[]}
","The name of the device as known to e.g. the manufacturer and/or patient","The name of the device as known to e.g. the manufacturer and/or patient","","","","","","","","","",,,,,"",,,,"EHDSDevice.name.value",1,1,"",""
"EHDSDevice.name.type","EHDSDevice.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The type of name, e.g. UDI Label name, user friendly name","The type of name, e.g. UDI Label name, user friendly name","","","","","","","","","",,,,,"",,,,"EHDSDevice.name.type",1,1,"",""
"EHDSDevice.modelNumber","EHDSDevice.modelNumber","","","",0,1,"","","","string {[]} {[]}
","The manufacturer's model number for the device","The manufacturer's model number for the device","","","","","","","","","",,,,,"",,,,"EHDSDevice.modelNumber",0,1,"",""
"EHDSDevice.version","EHDSDevice.version","","","",0,*,"","","","string {[]} {[]}
","The actual design of the device and/or software version running on the device","The actual design of the device and/or software version running on the device","","","","","","","","","",,,,,"",,,,"EHDSDevice.version",0,*,"",""
"EHDSDevice.type","EHDSDevice.type","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Device type","Device type","","","","","","","","","",,"preferred","SNOMED CT, EMDN","","",,,,"EHDSDevice.type",0,*,"",""
"EHDSDevice.note","EHDSDevice.note","","","",0,1,"","","","string {[]} {[]}
","Device note and/or comment","Device note and/or comment","","","","","","","","","",,,,,"",,,,"EHDSDevice.note",0,1,"",""
