Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	22659	-	0	0	0	0	0	0	12	63	0	0	0	0	0	0	0	0	0	0	92	118	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	21	0	7	1	0	0	0	0	60	0	0	1	0	0	0	0	1	0	0	55	884	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosaging.json	1619	15	0	30	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	95	157	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	3111	15	0	26	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	46	128	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5901	18	0	12	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	63	144	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9754	16	0	17	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	85	192	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	16	0	9	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	36	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3443	15	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	35	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5331	15	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	67	128	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8901	16	0	16	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	80	249	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	16	0	9	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	39	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	4127	13	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	45	110	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4988	13	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	49	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6002	14	0	11	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	55	133	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5492	14	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	68	169	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	26981	17	0	38	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	229	353	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9865	6	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	107	147	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	11696	6	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	109	146	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	5	0	14	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	118	178	0	0	0	3	0	1
