"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAppointment","EHDSAppointment","","","",0,*,"","","","null {[]} {[]}
","Appointment (model)","C.20 - EHDS refined base model for Appointment","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAppointment.identifier","EHDSAppointment.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","C.20.1 - Identifier","Appointment identifier","","","","","","","","","",,,,,"",,,,"EHDSAppointment.identifier",0,*,"",""
"EHDSAppointment.status","EHDSAppointment.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","C.20.2 - Status","The overall status of the Appointment. Each of the participants has their own participation status which indicates their involvement in the process, however this status indicates the shared status.","","","","","","","","","",,"preferred","HL7 Appointment status","","",,,,"EHDSAppointment.status",1,1,"",""
"EHDSAppointment.class","EHDSAppointment.class","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.20.3 - Class","Concepts representing classification of patient encounter such as ambulatory (outpatient), inpatient, emergency, home health or others due to local variations.","","","","","","","","","",,"preferred","HL7 Encounter class","","",,,,"EHDSAppointment.class",0,*,"",""
"EHDSAppointment.serviceType","EHDSAppointment.serviceType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.20.4 - Service type","The specific service that is to be performed during this appointment","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAppointment.serviceType",0,*,"",""
"EHDSAppointment.specialty","EHDSAppointment.specialty","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.20.5 - Specialty","The specialty of a practitioner that would be required to perform the service requested in this appointment","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAppointment.specialty",0,*,"",""
"EHDSAppointment.type","EHDSAppointment.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.20.6 - Type","The type of appointment or patient that has been booked in the slot, e.g. Routine, check-up, walk-in, routine, emenrgency etc.","","","","","","","","","",,"preferred","TBD","","",,,,"EHDSAppointment.type",0,1,"",""
"EHDSAppointment.reason","EHDSAppointment.reason","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSProcedure], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation], CanonicalType[https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSLaboratoryObservation]]}
","C.20.7 - Reason","The reason that this appointment is being scheduled.","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSAppointment.reason",0,*,"",""
"EHDSAppointment.priority","EHDSAppointment.priority","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.20.8 - Priority","The priority of the appointment. Can be used to make informed decisions if needing to re-prioritize appointments.","","","","","","","","","",,"preferred","HL7 Act priority","","",,,,"EHDSAppointment.priority",0,1,"",""
"EHDSAppointment.description","EHDSAppointment.description","","","",0,1,"","","","Narrative {[]} {[]}
","C.20.9 - Description","The brief description of the appointment as would be shown on a subject line in a meeting request, or appointment list.","","","","","","","","","",,,,,"",,,,"EHDSAppointment.description",0,1,"",""
