"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationPrescription","EHDSMedicationPrescription","","","",0,*,"","","","null {[]} {[]}
","Medication Prescription (model)","Logical model for medication prescription. A prescription contains one or more prescription items.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationPrescription.identifier","EHDSMedicationPrescription.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the prescription","Business identifier(s) for the prescription","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.identifier",1,*,"",""
"EHDSMedicationPrescription.prescriber","EHDSMedicationPrescription.prescriber","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","The person who made the prescription, and who takes the responsibility of the treatment","Question: would we want to add basic Practicioner model?","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriber",1,1,"",""
"EHDSMedicationPrescription.issueDate","EHDSMedicationPrescription.issueDate","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care practicioner","Time of issuing (signing) the prescription by health care practicioner","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.issueDate",1,1,"",""
"EHDSMedicationPrescription.patient","EHDSMedicationPrescription.patient","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","The person for whom the medication is prescribed/ordered","Question: would we want to add basic Patient model?","No change (Patient model will be common for all use cases)","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.patient",1,1,"",""
"EHDSMedicationPrescription.category","EHDSMedicationPrescription.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.category",0,*,"",""
"EHDSMedicationPrescription.validFrom","EHDSMedicationPrescription.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","Added. Often the same as IssueDate (A 1.2.2) or Start of therapy (A 1.5.6)","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.validFrom",0,1,"",""
"EHDSMedicationPrescription.validUntil","EHDSMedicationPrescription.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","The validity period end date. The prescription is not dispensable after this date.","The validity period end date. The prescription is not dispensable after this date.","No change (A.1.5.8)","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.validUntil",0,1,"",""
"EHDSMedicationPrescription.recorder","EHDSMedicationPrescription.recorder","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","The recorder of the prescription/draft in the information system","The recorder of the prescription/draft in the information system","Added. Not relevant for crossborder.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.recorder",0,1,"",""
"EHDSMedicationPrescription.recordingDate","EHDSMedicationPrescription.recordingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Time of authoring the prescription/draft in the information system","Time of authoring the prescription/draft in the information system","Added. Not relevant for crossborder.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.recordingDate",0,1,"",""
"EHDSMedicationPrescription.status","EHDSMedicationPrescription.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the prescription, this should not be status of treatment","Status of the prescription, this should not be status of treatment","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.status",1,1,"",""
"EHDSMedicationPrescription.dispensable","EHDSMedicationPrescription.dispensable","","","",0,1,"","","","boolean {[]} {[]}
","Dispensability of this prescription. May be calculated from status and other elements, e.g. for cross-border use cases.","Dispensability of this prescription. May be calculated from status and other elements, e.g. for cross-border use cases.","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.dispensable",0,1,"",""
"EHDSMedicationPrescription.statusReason","EHDSMedicationPrescription.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the current status of prescription, for example the reason why the prescription was made invalid","Reason for the current status of prescription, for example the reason why the prescription was made invalid","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.statusReason",0,*,"",""
"EHDSMedicationPrescription.statusReasonText","EHDSMedicationPrescription.statusReasonText","","","",0,1,"","","","string {[]} {[]}
","Textual reason for the current status of prescription","Textual reason for the current status of prescription","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.statusReasonText",0,1,"",""
"EHDSMedicationPrescription.comment","EHDSMedicationPrescription.comment","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.comment",0,*,"",""
"EHDSMedicationPrescription.prescriptionItem","EHDSMedicationPrescription.prescriptionItem","","","",1,*,"","","","Base {[]} {[]}
","Presription line for one medication. In many countries, only one line is allowed. In case multiple medications are allowed, all lines need to be authored together.","Presription line for one medication. In many countries, only one line is allowed. In case multiple medications are allowed, all lines need to be authored together.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem",1,*,"",""
"EHDSMedicationPrescription.prescriptionItem.identifier","EHDSMedicationPrescription.prescriptionItem.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Identifier for a single line on prescription, if exists. In case of single-line prescription, this identifier is typically the same as prescription identifier.","Identifier for a single line on prescription, if exists. In case of single-line prescription, this identifier is typically the same as prescription identifier.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.identifier",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.medication","EHDSMedicationPrescription.prescriptionItem.medication","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedication {[]} {[]}
","Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc","Medication model changed - described within that model","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.medication",1,1,"",""
"EHDSMedicationPrescription.prescriptionItem.indication","EHDSMedicationPrescription.prescriptionItem.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","No change (A.1.5.10)","","","","","","","","",,"preferred","shall we have a preferred binding here?","","",,,,"EHDSMedicationPrescription.prescriptionItem.indication",0,*,"",""
"EHDSMedicationPrescription.prescriptionItem.indicationText","EHDSMedicationPrescription.prescriptionItem.indicationText","","","",0,1,"","","","string {[]} {[]}
","Reason for the prescription in textual form. This might not be allowed by some implementations.","Reason for the prescription in textual form. This might not be allowed by some implementations.","No change (code not required) A1.5.10","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.indicationText",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.prescriptionIntent","EHDSMedicationPrescription.prescriptionItem.prescriptionIntent","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Intent of the prescription - prophylaxis, treatment, anesthesia, etc","Intent of the prescription - prophylaxis, treatment, anesthesia, etc","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.prescriptionIntent",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.treatmentPeriod","EHDSMedicationPrescription.prescriptionItem.treatmentPeriod","","","",0,1,"","","","Period {[]} {[]}
","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","Starting Date of Therapy A1.5.6. End date added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.treatmentPeriod",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.quantityPrescribed","EHDSMedicationPrescription.prescriptionItem.quantityPrescribed","","","",0,1,"","","","Quantity {[]} {[]}
","Overall quantity of prescribed product (e.g number of packages or number of tablets).","Overall quantity of prescribed product (e.g number of packages or number of tablets).","No change","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.quantityPrescribed",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.dosageInstructions","EHDSMedicationPrescription.prescriptionItem.dosageInstructions","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDosaging {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","Dosage model significantly changed towards more granularity. A.1.5.3-A.1.5.7","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.dosageInstructions",0,*,"",""
"EHDSMedicationPrescription.prescriptionItem.preparationInstructions","EHDSMedicationPrescription.prescriptionItem.preparationInstructions","","","",0,1,"","","","string {[]} {[]}
","Additional instructions about preparation or dispense","Additional instructions about preparation or dispense","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.preparationInstructions",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.substitution","EHDSMedicationPrescription.prescriptionItem.substitution","","","",0,1,"","","","Base {[]} {[]}
","Whether and which type of substitution is allowed for this medication treatment line","Whether and which type of substitution is allowed for this medication treatment line","No change but subelements added. A 1.5.11","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.substitution",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.substitution.allowed","EHDSMedicationPrescription.prescriptionItem.substitution.allowed","","","",0,1,"","","","boolean {[]} {[]}
","Whether substitution is allowed or not.","Whether substitution is allowed or not.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.substitution.allowed",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.substitution.type","EHDSMedicationPrescription.prescriptionItem.substitution.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The type of substitution that is allowed.","The type of substitution that is allowed.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.substitution.type",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.substitution.typeReason[x]","EHDSMedicationPrescription.prescriptionItem.substitution.typeReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the substitution requirement","Reason for the substitution requirement","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.substitution.typeReason[x]",0,1,"",""
