"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatient","EHDSPatient","","","",0,*,"","","","null {[]} {[]}
","Patient model","Model for information about a patient (subject of care).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatient.identifier","EHDSPatient.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","An identifier of the patient that is unique within a defined scope (typically a national patient identifier, but it can also be a temporary identifier issued by the EHR).","An identifier of the patient that is unique within a defined scope (typically a national patient identifier, but it can also be a temporary identifier issued by the EHR).","","","","","","","","","",,,,,"",,,,"EHDSPatient.identifier",1,*,"",""
"EHDSPatient.name","EHDSPatient.name","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName {[]} {[]}
","Name associated with the patient/subject.","Name might consist of name parts, e.g. Given name or names, family name/surname, name prefix etc.","","","","","","","","","",,,,,"",,,,"EHDSPatient.name",0,*,"",""
"EHDSPatient.name.use","EHDSPatient.name.use","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Identifies the purpose of this name.","Identifies the purpose of this name.","","","","","","","","","",,"preferred","HL7 Name Use","","",,,,"EHDSHumanName.use",0,1,"",""
"EHDSPatient.name.text","EHDSPatient.name.text","","","",0,1,"","","","string {[]} {[]}
","Specifies the entire name as it should be displayed e.g. on an application UI.","Specifies the entire name as it should be displayed e.g. on an application UI.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.text",0,1,"",""
"EHDSPatient.name.family","EHDSPatient.name.family","","","",0,*,"","","","string {[]} {[]}
","The family name/surname/last name of a person.","The family name/surname/last name of a person.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.family",0,*,"",""
"EHDSPatient.name.given","EHDSPatient.name.given","","","",0,*,"","","","string {[]} {[]}
","The given name/first name.","The given name/first name.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.given",0,*,"",""
"EHDSPatient.name.prefix","EHDSPatient.name.prefix","","","",0,*,"","","","string {[]} {[]}
","Name parts that come before the name. Prefixes appear in the correct order for presenting the name.","Name parts that come before the name. Prefixes appear in the correct order for presenting the name.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.prefix",0,*,"",""
"EHDSPatient.name.suffix","EHDSPatient.name.suffix","","","",0,*,"","","","string {[]} {[]}
","Name parts that come after the name. Suffixes appear in the correct order for presenting the name.","Name parts that come after the name. Suffixes appear in the correct order for presenting the name.","","","","","","","","","",,,,,"",,,,"EHDSHumanName.suffix",0,*,"",""
"EHDSPatient.dateOfBirth","EHDSPatient.dateOfBirth","","","",0,1,"","","","dateTime {[]} {[]}
","Date of birth","Date of birth","","","","","","","","","",,,,,"",,,,"EHDSPatient.dateOfBirth",0,1,"",""
"EHDSPatient.deceased[x]","EHDSPatient.deceased[x]","","","",0,1,"","","","boolean {[]} {[]}
dateTime {[]} {[]}","Whether the patient is deceased or date of death.","Whether the patient is deceased or date of death.","","","","","","","","","",,,,,"",,,,"EHDSPatient.deceased[x]",0,1,"",""
"EHDSPatient.administrativeGender","EHDSPatient.administrativeGender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Administrative gender","This field must contain a recognised valid value for ""administrative gender"". If different, ""physiological gender"" should be communicated elsewhere.","","","","","","","","","",,"preferred","HL7 Administrative Gender","","",,,,"EHDSPatient.administrativeGender",0,1,"",""
"EHDSPatient.address","EHDSPatient.address","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress {[]} {[]}
","Mailing and home or office addresses.","The addresses are always sequences of address parts (e.g. street address line, country, postal code, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.","","","","","","","","","",,,,,"",,,,"EHDSPatient.address",0,*,"",""
"EHDSPatient.telecom","EHDSPatient.telecom","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom {[]} {[]}
","Contact information.","Contact information.","","","","","","","","","",,,,,"",,,,"EHDSPatient.telecom",0,*,"",""
