Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	40297	-	0	0	0	0	0	0	16	79	0	0	0	0	0	0	0	1	0	0	0	172	316	0	0	0	10	0	1
fsh-generated/resources/ActorDefinition-actor-consumer.json	199	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-producer.json	199	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4008	5	0	8	1	0	0	0	0	60	0	0	0	0	0	0	0	1	0	0	0	63	901	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdministeredDosage.json	1809	2	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	60	183	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	2800	2	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	64	160	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirectiveObligations.json	5225	11	0	8	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	94	199	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5478	6	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	69	239	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertObligations.json	3860	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	80	169	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9415	11	0	7	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	0	119	162	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceObligations.json	5882	5	0	7	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	106	185	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3674	3	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	40	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3255	2	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	36	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructureLaboratoryObligations.json	5588	3	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	51	149	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	5020	3	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	68	140	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	8518	6	0	6	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	81	139	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionLaboratoryObligations.json	5942	5	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	65	161	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionObligations.json	5046	6	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	68	158	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3816	6	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	48	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancyObligations.json	4136	5	0	4	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	54	117	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	4822	6	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	60	94	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	6160	4	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	68	170	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceLaboratoryObligations.json	8387	4	0	7	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	78	264	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceObligations.json	3837	3	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	50	206	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	4549	3	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	61	160	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDeviceUseObligations.json	3946	3	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	55	181	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	30281	14	0	26	0	0	0	0	0	43	0	0	0	0	0	0	0	1	0	0	0	259	433	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-EHDSDischargeReportObligations.json	77850	34	0	69	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	478	1117	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9474	4	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	103	173	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	10858	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	107	177	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSDosageObligations.json	6285	3	0	7	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	122	196	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	11061	4	0	6	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	127	238	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6291	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	59	136	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6275	3	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	52	115	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessionalLaboratoryObligations.json	6184	2	0	6	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	55	149	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessionalObligations.json	6477	3	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	73	176	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3164	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	36	106	0	0	0	1	0	0
