"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSConditionHdr","EHDSConditionHdr","","","",0,*,"","","","null {[]} {[]}
","Condition HDR model","C.38 - EHDS refined base model for Condition HDR","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSConditionHdr.identifier","EHDSConditionHdr.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","C.15.1 - Identifier","Condition identifier","","","","","","","","","",,,,,"",,,,"EHDSCondition.identifier",0,*,"",""
"EHDSConditionHdr.description","EHDSConditionHdr.description","","","",0,1,"","","","Narrative {[]} {[]}
","C.15.2 - Description","Condition specification in narrative form","","","","","","","","","",,,,,"",,,,"EHDSCondition.description",0,1,"",""
"EHDSConditionHdr.code","EHDSConditionHdr.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.15.3 - Code","Code identifying the condition, problem or diagnosis","","","","","","","","","",,"preferred","ICD-10*, SNOMED CT, Orphacode if rare disease is diagnosed","","",,,,"EHDSCondition.code",0,1,"",""
"EHDSConditionHdr.onsetDate","EHDSConditionHdr.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.15.4 - Onset date","Onset date of a problem/condition","","","","","","","","","",,,,,"",,,,"EHDSCondition.onsetDate",0,1,"",""
"EHDSConditionHdr.endDate","EHDSConditionHdr.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","C.15.5 - End date","The date or estimated date that the condition resolved or went into remission.","","","","","","","","","",,,,,"",,,,"EHDSCondition.endDate",0,1,"",""
"EHDSConditionHdr.category","EHDSConditionHdr.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","C.15.6 - Category","Category or categories of the problem.","","","","","","","","","",,,,,"",,,,"EHDSCondition.category",0,*,"",""
"EHDSConditionHdr.clinicalStatus","EHDSConditionHdr.clinicalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.15.7 - Clinical status","Status of the condition/problem (active, resolved, inactive, ...)","","","","","","","","","",,"preferred","HL7 Condtion-clinical","","",,,,"EHDSCondition.clinicalStatus",0,1,"",""
"EHDSConditionHdr.resolutionCircumstances","EHDSConditionHdr.resolutionCircumstances","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","C.15.8 - Resolution circumstances","Describes the reason for which the status of the problem changed from current to inactive (e.g. surgical procedure, medical treatment, etc.). This field includes ""free text"" if the resolution circumstances are not already included in other fields such as surgical procedure, medical device, etc., e.g. hepatic cystectomy (this will be the resolution circumstances for the problem ""hepatic cyst"" and will be included in surgical procedures).","","","","","","","","","",,,,,"",,,,"EHDSCondition.resolutionCircumstances",0,*,"",""
"EHDSConditionHdr.severity","EHDSConditionHdr.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","C.15.9 - Severity","A subjective assessment of the severity of the condition as evaluated by the clinician.","","","","","","","","","",,"preferred","HL7 Condtion-severity","","",,,,"EHDSCondition.severity",0,1,"",""
