Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	24689	-	0	0	0	0	0	0	4	72	0	0	0	0	0	0	0	1	0	0	93	154	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	5	0	9	0	0	1	0	0	25	0	0	0	0	0	0	0	0	0	0	26	638	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	4	0	11	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	114	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4038	5	0	15	0	0	0	1	0	11	0	0	0	0	0	0	0	1	0	0	43	99	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6056	4	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	50	91	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9614	5	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	77	131	0	1	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11934	32	0	19	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	87	130	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	5650	7	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	50	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1890	4	0	13	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	25	54	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3606	4	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7753	5	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	57	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSClinicalImpression.json	8939	6	0	9	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	72	110	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9474	6	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	75	142	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSConditionHdr.json	2318	4	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	39	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3668	4	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	6	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	61	86	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDevice.json	4738	5	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	54	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5894	4	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	48	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3499	5	0	9	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	41	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9565	5	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	83	146	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2822	4	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	34	60	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	17724	9	0	14	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	153	179	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	13211	7	0	12	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	97	141	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6163	5	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	72	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4646	4	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	55	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	4249	4	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	52	90	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	4875	4	0	9	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	42	73	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSGoal.json	908	3	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	39	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSGroup.json	914	2	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	4736	4	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReport.json	3161	3	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	52	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportBody.json	80243	24	0	30	0	0	0	0	0	116	0	0	0	0	0	0	0	1	0	0	577	573	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-EHDSHospitalDischargeReportHeader.json	18062	8	0	7	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	125	167	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3291	3	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	3624	4	0	2	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	35	54	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportBody.json	22831	8	0	10	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	164	192	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReportHeader.json	14754	6	0	5	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	104	133	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	17378	7	0	7	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	126	142	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunization.json	6636	5	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	53	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSInpatientEncounter.json	2092	3	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3381	3	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	58	145	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrder.json	2910	4	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	51	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderBody.json	11641	5	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	86	97	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderHeader.json	14189	6	0	6	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	100	130	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	2982	3	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	11219	5	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	84	95	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	3434	3	0	7	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	5173	4	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	43	44	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6642	5	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	56	55	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15785	7	0	6	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	150	103	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	5382	4	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7336	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	70	64	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18358	7	0	13	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	159	99	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5720	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	45	41	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	20180	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	155	112	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganization.json	3849	3	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	33	37	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5623	4	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	44	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	34276	11	0	18	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	256	349	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	8369	4	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	64	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	3815	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	8779	4	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	65	81	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSSlot.json	908	4	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	48	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7764	4	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	60	91	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	4066	4	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	37	59	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSTask.json	908	3	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	32	26	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2329	3	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	38	0	0	0	0	0	0
