"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationPrescription","EHDSMedicationPrescription","","","",0,*,"","","","null {[]} {[]}
","Medication prescription model","Logical model for medication prescription. A prescription contains one or more prescription items (medications).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationPrescription.header","EHDSMedicationPrescription.header","","","",1,1,"","","","Base {[]} {[]}
","Prescription header","Prescription header","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSMedicationPrescription.header.subject","EHDSMedicationPrescription.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","The person for whom the medication is prescribed/ordered. [Used for searching]","The person for whom the medication is prescribed/ordered. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSMedicationPrescription.header.identifier","EHDSMedicationPrescription.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the prescription. [Used for searching]","Business identifier(s) for the prescription. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSMedicationPrescription.header.author[x]","EHDSMedicationPrescription.header.author[x]","","","",1,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}","The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]","The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSMedicationPrescription.header.date","EHDSMedicationPrescription.header.date","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care professional. [Used for searching]","Time of issuing (signing) the prescription by health care professional. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSMedicationPrescription.header.status","EHDSMedicationPrescription.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of authorisation for dispensing the prescription items. This should not be the status of treatment. For a multiple-item prescription, this conveys the aggregate status of the entire prescription. In case of a single-item prescription, prescriptionItem.status shall be the same as EHDSMedicationPrescription.header.status. [Used for searching]","Status of authorisation for dispensing the prescription items. This should not be the status of treatment. For a multiple-item prescription, this conveys the aggregate status of the entire prescription. In case of a single-item prescription, prescriptionItem.status shall be the same as EHDSMedicationPrescription.header.status. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSMedicationPrescription.header.source","EHDSMedicationPrescription.header.source","","","",0,0,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSMedicationPrescription.header.language","EHDSMedicationPrescription.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSMedicationPrescription.header.statusReason[x]","EHDSMedicationPrescription.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.","Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.header.statusReason[x]",0,1,"",""
"EHDSMedicationPrescription.presentedForm","EHDSMedicationPrescription.presentedForm","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment {[]} {[]}
","Entire prescription as issued. Various formats could be provided, PDF format is recommended.","Entire prescription as issued. Various formats could be provided, PDF format is recommended.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.presentedForm",0,*,"",""
