"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSImagingStudy","EHDSImagingStudy","","","",0,*,"","","","null {[]} {[]}
","Imaging study model","EHDS refined base model for Imaging study","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSImagingStudy.identifier","EHDSImagingStudy.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiers for the ImagingStudy such as DICOM Study Instance UID. If one or more series elements are present in the ImagingStudy, then there shall be one DICOM Study UID identifier.","Identifiers for the ImagingStudy such as DICOM Study Instance UID. If one or more series elements are present in the ImagingStudy, then there shall be one DICOM Study UID identifier.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.identifier",1,*,"",""
"EHDSImagingStudy.modality","EHDSImagingStudy.modality","","","",0,*,"","","","CodeableConcept {[]} {[]}
","All of the distinct values for series' modalities","All of the distinct values for series' modalities","","","","","","","","","",,"preferred","DICOM CID029","","",,,,"EHDSImagingStudy.modality",0,*,"",""
"EHDSImagingStudy.subject","EHDSImagingStudy.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","The subject of the study","The subject of the study","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.subject",1,1,"",""
"EHDSImagingStudy.encounter","EHDSImagingStudy.encounter","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSEncounter {[]} {[]}
","Reference to the encounter with which this imaging study is associated","Reference to the encounter with which this imaging study is associated","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.encounter",0,1,"",""
"EHDSImagingStudy.started","EHDSImagingStudy.started","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time the study started.","Date and time the study started.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.started",0,1,"",""
"EHDSImagingStudy.basedOn","EHDSImagingStudy.basedOn","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSServiceRequest {[]} {[]}
","References to the diagnostic requests that resulted in this imaging study being performed.","References to the diagnostic requests that resulted in this imaging study being performed.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.basedOn",0,*,"",""
"EHDSImagingStudy.numberOfSeries","EHDSImagingStudy.numberOfSeries","","","",0,1,"","","","integer {[]} {[]}
","Number of Series in the Study. This value given may be larger than the number of series elements this Resource contains due to resource availability, security, or other factors. This element should be present if any series elements are present.","Number of Series in the Study. This value given may be larger than the number of series elements this Resource contains due to resource availability, security, or other factors. This element should be present if any series elements are present.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.numberOfSeries",0,1,"",""
"EHDSImagingStudy.numberOfInstances","EHDSImagingStudy.numberOfInstances","","","",0,1,"","","","integer {[]} {[]}
","Number of Service-Object Pairs (SOP) Instances in Study. This value given may be larger than the number of instance elements this resource contains due to resource availability, security, or other factors. This element should be present if any instance elements are present.","Number of Service-Object Pairs (SOP) Instances in Study. This value given may be larger than the number of instance elements this resource contains due to resource availability, security, or other factors. This element should be present if any instance elements are present.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.numberOfInstances",0,1,"",""
"EHDSImagingStudy.description","EHDSImagingStudy.description","","","",0,1,"","","","string {[]} {[]}
","The Imaging Manager description of the study. Institution-generated description or classification of the Study (component) performed.","The Imaging Manager description of the study. Institution-generated description or classification of the Study (component) performed.","","","","","","","","","",,,,,"",,,,"EHDSImagingStudy.description",0,1,"",""
