"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryReportBody","EHDSLaboratoryReportBody","","","",0,*,"","","","null {[]} {[]}
","Laboratory report body model","B.1 - EEHRxF refined base model for Laboratory result report body","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryReportBody.orderInformation","EHDSLaboratoryReportBody.orderInformation","","","",0,*,"","","","Base {[]} {[]}
","B.1.1 - Order information","Order Information (Laboratory Result Report could respond to multiple test orders)","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation",0,*,"",""
"EHDSLaboratoryReportBody.orderInformation.orderId","EHDSLaboratoryReportBody.orderInformation.orderId","","","",1,*,"","","","Identifier {[]} {[]}
","B.1.1.1 - Order Id","An identifier of the laboratory test order. Laboratory Result Report may respond to multiple orders.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderId",1,*,"",""
"EHDSLaboratoryReportBody.orderInformation.orderDateAndTime","EHDSLaboratoryReportBody.orderInformation.orderDateAndTime","","","",0,1,"","","","dateTime {[]} {[]}
","B.1.1.2 - Order date and time","Date and time of the order placement.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderDateAndTime",0,1,"",""
"EHDSLaboratoryReportBody.orderInformation.orderPlacer[x]","EHDSLaboratoryReportBody.orderInformation.orderPlacer[x]","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganisation {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}","B.1.1.3 - Order placer","The person/organisation \""authorised\"" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderPlacer[x]",0,1,"",""
"EHDSLaboratoryReportBody.orderInformation.orderReasonText","EHDSLaboratoryReportBody.orderInformation.orderReasonText","","","",0,*,"","","","string {[]} {[]}
","B.1.1.4 - Order reason text","An explanation or justification for why this service is being requested in textual form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderReasonText",0,*,"",""
"EHDSLaboratoryReportBody.orderInformation.orderReason","EHDSLaboratoryReportBody.orderInformation.orderReason","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","B.1.1.5 - Order reason","An explanation or justification for why this service is being requested in coded form.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.orderInformation.orderReason",0,*,"",""
"EHDSLaboratoryReportBody.supportingInformation","EHDSLaboratoryReportBody.supportingInformation","","","",0,*,"","","","Base {[]} {[]}
","B.1.2 - Supporting information","Additional clinical information about the patient or specimen that may influence the services or their interpretations. This information includes diagnosis, clinical findings and other observations. In laboratory ordering these are typically referred to as 'ask at order entry questions (AOEs).' This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the amount of inspired oxygen for blood gas measurements.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.supportingInformation",0,*,"",""
"EHDSLaboratoryReportBody.supportingInformation.observation","EHDSLaboratoryReportBody.supportingInformation.observation","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSObservation {[]} {[]}
","B.1.2.1 - Observation","Clinical findings and other observations.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.supportingInformation.observation",0,*,"",""
"EHDSLaboratoryReportBody.supportingInformation.condition","EHDSLaboratoryReportBody.supportingInformation.condition","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","B.1.2.2 - Condition","Condition that may influence the service or result interpretation.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.supportingInformation.condition",0,*,"",""
"EHDSLaboratoryReportBody.supportingInformation.medicationAdministration","EHDSLaboratoryReportBody.supportingInformation.medicationAdministration","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationAdministration {[]} {[]}
","B.1.2.3 - Medication Administration","Medication administered before ordering the service.","","","","","","","","","",,,,,"",,,,"EHDSLaboratoryReportBody.supportingInformation.medicationAdministration",0,*,"",""
