Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	23205	-	0	0	0	0	0	0	11	92	0	0	0	0	0	0	0	1	0	0	86	151	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	9	0	6	0	0	0	1	0	45	0	0	0	0	0	0	0	0	0	0	54	655	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	4	0	27	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	61	225	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4142	4	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	47	150	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	5	0	13	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	84	194	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	5175	5	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	50	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	4	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	37	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	3	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	99	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4218	4	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	56	120	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9608	4	0	17	0	0	0	0	0	45	0	0	0	0	0	0	0	1	0	0	77	193	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	3	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	47	80	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3082	25	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	36	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	3	0	0	1	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	65	102	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	3	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	49	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	3	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	70	119	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73301	15	0	58	0	0	0	0	0	149	0	0	0	0	0	0	0	1	0	0	596	659	0	0	0	24	0	2
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	3	0	30	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	51	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9538	4	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	122	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	3	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	48	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	5	0	15	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	183	134	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12448	4	0	14	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	132	105	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	3	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	56	63	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4616	2	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	60	73	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3906	3	0	10	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	50	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6416	3	0	14	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	65	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5454	3	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	45	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3223	2	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	34	45	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29834	5	0	15	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	250	336	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	14738	4	0	9	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	119	179	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4820	3	0	6	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	54	126	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	4007	2	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4457	3	0	27	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	67	208	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrder.json	2910	3	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderBody.json	11664	3	0	5	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	97	116	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryOrderHeader.json	14171	4	0	10	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	108	152	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	2982	2	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportBody.json	11295	3	0	4	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	98	132	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReportHeader.json	3427	3	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	58	129	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	4027	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6504	3	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	62	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15939	4	0	6	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	146	173	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4479	2	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	59	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	6865	3	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	68	112	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18522	4	0	8	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	168	176	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5417	3	0	8	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	48	79	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	15468	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	154	132	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3789	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	36	52	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5319	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	45	48	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5065	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	52	53	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	28141	5	0	17	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	217	182	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3155	2	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7172	3	0	3	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	76	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4218	2	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	8217	2	0	4	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	88	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2591	2	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	8238	3	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	77	64	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3976	2	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	43	46	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4275	3	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	56	109	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2293	2	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	37	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2084	2	0	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	84	0	0	0	1	0	1
