Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	21411	-	0	0	0	0	0	0	12	64	0	0	0	0	0	0	0	0	0	0	81	151	0	0	0	16	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	10	0	78	1	0	1	0	0	71	0	0	1	0	0	1	0	1	0	0	59	921	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	7	0	30	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	62	197	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4115	6	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	54	147	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10762	8	0	16	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	97	206	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	41	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	6	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	42	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	6	0	20	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	56	115	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9542	7	0	15	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	94	245	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	5	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	40	88	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	6	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	39	119	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	6	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	59	103	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	6	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	48	122	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5578	6	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	79	149	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73463	25	0	55	0	0	0	0	0	115	0	0	1	0	0	0	0	1	0	0	539	611	0	0	0	26	0	1
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9699	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	108	93	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2736	5	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	83	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	10007	7	0	6	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	93	96	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12291	8	0	8	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	121	116	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6006	6	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	55	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4553	6	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	58	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3877	4	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	49	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6389	4	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	67	80	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6445	4	0	4	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	49	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3205	2	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	50	1	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	29149	9	0	15	0	0	0	1	0	48	0	0	0	0	0	0	0	1	0	0	238	183	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	18574	6	0	14	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	135	119	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4809	2	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	52	72	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	3980	2	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	47	62	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	3970	3	0	33	1	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	63	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	17750	4	0	22	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	176	132	0	1	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSLocation.json	3982	3	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6282	4	0	9	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	67	72	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15912	5	0	13	0	0	0	0	0	40	0	0	1	0	0	0	0	1	0	0	147	125	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4416	2	0	8	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	69	64	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7193	3	0	5	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	77	71	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18837	6	0	9	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	205	108	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5372	5	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	50	65	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSObservation.json	17472	8	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	180	142	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganisation.json	3744	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	34	50	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5274	3	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	45	105	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientAnimal.json	5029	6	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	51	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatientSummary.json	27970	11	0	20	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	209	334	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSPregnancyHistory.json	3128	5	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSProcedure.json	7082	3	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	70	121	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSRelatedPerson.json	4164	2	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSServiceRequest.json	7583	3	0	6	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	82	152	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSSocialHistory.json	2555	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSpecimen.json	7550	6	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	75	101	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstance.json	3949	6	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	42	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSSubstanceUse.json	4248	5	0	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	49	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSTelecom.json	2275	4	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSTravelHistory.json	2057	4	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	27	78	0	0	0	1	1	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
