"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationPrescription","EHDSMedicationPrescription","","","",0,*,"","","","null {[]} {[]}
","Medication prescription model","Logical model for medication prescription body. A prescription contains one or more prescription items.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationPrescription.header","EHDSMedicationPrescription.header","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedicationPrescriptionHeader {[]} {[]}
","Prescription header","Prescription header data elements","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.header",1,1,"",""
"EHDSMedicationPrescription.presentedForm","EHDSMedicationPrescription.presentedForm","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAttachment {[]} {[]}
","Presented Form","Entire prescription as issued. Various formats could be provided, pdf format is recommended.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.presentedForm",0,*,"",""
"EHDSMedicationPrescription.comment","EHDSMedicationPrescription.comment","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.comment",0,*,"",""
"EHDSMedicationPrescription.prescriptionItem","EHDSMedicationPrescription.prescriptionItem","","","",1,*,"","","","Base {[]} {[]}
","Prescription line for one medication. In many countries, only one line is allowed. In case multiple medications are allowed, all lines need to be authored together.","Prescription line for one medication. In many countries, only one line is allowed. In case multiple medications are allowed, all lines need to be authored together.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem",1,*,"",""
"EHDSMedicationPrescription.prescriptionItem.identifier","EHDSMedicationPrescription.prescriptionItem.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Identifier for a single line on prescription, if exists. In case of single-line prescription, this identifier is typically the same as prescription identifier.","Identifier for a single line on prescription, if exists. In case of single-line prescription, this identifier is typically the same as prescription identifier.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.identifier",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.medication","EHDSMedicationPrescription.prescriptionItem.medication","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSMedication {[]} {[]}
","Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.medication",1,1,"",""
"EHDSMedicationPrescription.prescriptionItem.indication[x]","EHDSMedicationPrescription.prescriptionItem.indication[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,"preferred","shall we have a preferred binding here?","","",,,,"EHDSMedicationPrescription.prescriptionItem.indication[x]",0,*,"",""
"EHDSMedicationPrescription.prescriptionItem.indicationText","EHDSMedicationPrescription.prescriptionItem.indicationText","","","",0,1,"","","","string {[]} {[]}
","Reason for the prescription in textual form. This might not be allowed by some implementations.","Reason for the prescription in textual form. This might not be allowed by some implementations.","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.indicationText",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.prescriptionIntent","EHDSMedicationPrescription.prescriptionItem.prescriptionIntent","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Intent of the prescription - prophylaxis, treatment, anesthesia, etc","Intent of the prescription - prophylaxis, treatment, anesthesia, etc","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.prescriptionIntent",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.treatmentPeriod","EHDSMedicationPrescription.prescriptionItem.treatmentPeriod","","","",0,1,"","","","Period {[]} {[]}
","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.treatmentPeriod",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.quantityPrescribed","EHDSMedicationPrescription.prescriptionItem.quantityPrescribed","","","",0,1,"","","","Quantity {[]} {[]}
","Overall quantity of prescribed product (e.g number of packages or number of tablets).","Overall quantity of prescribed product (e.g number of packages or number of tablets).","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.quantityPrescribed",0,1,"",""
"EHDSMedicationPrescription.prescriptionItem.dosageInstructions","EHDSMedicationPrescription.prescriptionItem.dosageInstructions","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDosaging {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescription.prescriptionItem.dosageInstructions",0,*,"",""
