"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationPrescriptionHeader","EHDSMedicationPrescriptionHeader","","","",0,*,"","","","null {[]} {[]}
","Medication prescription header model","Logical model for medication prescription header.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSMedicationPrescriptionHeader.subject","EHDSMedicationPrescriptionHeader.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","The person for whom the medication is prescribed/ordered. [Used for searching]","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.subject",1,1,"",""
"EHDSMedicationPrescriptionHeader.authorship","EHDSMedicationPrescriptionHeader.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.authorship",1,*,"",""
"EHDSMedicationPrescriptionHeader.authorship.author[x]","EHDSMedicationPrescriptionHeader.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","The prescriber, the person who made the prescription, and who takes the responsibility of the treatment. [Used for searching]","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.authorship.author[x]",1,1,"",""
"EHDSMedicationPrescriptionHeader.authorship.datetime","EHDSMedicationPrescriptionHeader.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care professional. [Used for searching]","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.authorship.datetime",1,1,"",""
"EHDSMedicationPrescriptionHeader.lastUpdate","EHDSMedicationPrescriptionHeader.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.lastUpdate",0,1,"",""
"EHDSMedicationPrescriptionHeader.status","EHDSMedicationPrescriptionHeader.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the prescription, this should not be status of treatment. [Used for searching]","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.status",1,1,"",""
"EHDSMedicationPrescriptionHeader.statusReason[x]","EHDSMedicationPrescriptionHeader.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of prescription, for example the reason why the prescription was made invalid or why the prescription was changed from previous","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.statusReason[x]",0,1,"",""
"EHDSMedicationPrescriptionHeader.language","EHDSMedicationPrescriptionHeader.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSCommonHeader.language",0,1,"",""
"EHDSMedicationPrescriptionHeader.version","EHDSMedicationPrescriptionHeader.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSCommonHeader.version",0,1,"",""
"EHDSMedicationPrescriptionHeader.identifier","EHDSMedicationPrescriptionHeader.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the prescription. [Used for searching]","Business identifier(s) for the prescription. [Used for searching]","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescriptionHeader.identifier",1,*,"",""
"EHDSMedicationPrescriptionHeader.recorder","EHDSMedicationPrescriptionHeader.recorder","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","The recorder of the prescription/draft in the information system","The recorder of the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescriptionHeader.recorder",0,1,"",""
"EHDSMedicationPrescriptionHeader.recordingDate","EHDSMedicationPrescriptionHeader.recordingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Time of authoring the prescription/draft in the information system","Time of authoring the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"EHDSMedicationPrescriptionHeader.recordingDate",0,1,"",""
