Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	28852	-	0	0	0	0	0	0	4	76	0	0	0	0	0	0	0	1	0	0	98	157	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	6	0	8	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	30	601	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	6	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	223	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4038	6	0	16	1	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	55	192	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6056	5	0	14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	57	180	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9615	9	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	84	197	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11934	9	0	18	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	104	183	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	5650	5	0	15	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	53	107	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1890	4	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	32	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3606	5	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	40	85	0	0	0	2	0	0
