"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSAllergyIntolerance","EHDSAllergyIntolerance","","","",0,*,"","","","null {[]} {[]}
","Allergy intolerance model","Model for allergy or intolerance.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSAllergyIntolerance.header","EHDSAllergyIntolerance.header","","","",1,1,"","","","Base {[]} {[]}
","Basic metadata for this information","Basic metadata for this information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSAllergyIntolerance.header.subject","EHDSAllergyIntolerance.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSAllergyIntolerance.header.identifier","EHDSAllergyIntolerance.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSAllergyIntolerance.header.author[x]","EHDSAllergyIntolerance.header.author[x]","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","The author of the allergy/intolerance information.","The author of the allergy/intolerance information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.author[x]",0,*,"",""
"EHDSAllergyIntolerance.header.date","EHDSAllergyIntolerance.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date and optionally time of authoring/issuing","Date and optionally time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.date",0,1,"",""
"EHDSAllergyIntolerance.header.status","EHDSAllergyIntolerance.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.","Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.","","eHN PS Guideline, MyHealth@EU, ISO IPS","","","","","","","",,"preferred","HL7 allergy intolerance status","","",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSAllergyIntolerance.header.source","EHDSAllergyIntolerance.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.source",0,1,"",""
"EHDSAllergyIntolerance.header.language","EHDSAllergyIntolerance.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSAllergyIntolerance.agentOrAllergen","EHDSAllergyIntolerance.agentOrAllergen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code that identifies the allergy or intolerance","Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., ""Latex""), an allergy or intolerance condition (e.g., ""Latex allergy""), or a negated/excluded code for a specific substance or class (e.g., ""No latex allergy"")
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.","","eHN PS Guideline, MyHealth@EU, ISO IPS","","","","","","","",,"preferred","ATC, EMA SPOR SMS, SNOMED CT","","",,,,"EHDSAllergyIntolerance.agentOrAllergen",1,1,"",""
"EHDSAllergyIntolerance.note","EHDSAllergyIntolerance.note","","","",0,1,"","","","string {[]} {[]}
","Additional information about the allergy or intolerance","Additional information about the allergy or intolerance","","eHN PS Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.note",0,1,"",""
"EHDSAllergyIntolerance.criticality","EHDSAllergyIntolerance.criticality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","","eHN PS Guideline, MyHealth@EU, ISO IPS","","","","","","","",,"preferred","HL7 allergy intolerance criticality","","",,,,"EHDSAllergyIntolerance.criticality",0,1,"",""
"EHDSAllergyIntolerance.certainty","EHDSAllergyIntolerance.certainty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition","","eHN PS Guideline, MyHealth@EU, ISO IPS","","","","","","","",,"preferred","HL7 allergy intolerance verification","","",,,,"EHDSAllergyIntolerance.certainty",0,1,"",""
"EHDSAllergyIntolerance.onsetDate","EHDSAllergyIntolerance.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","When allergy or intolerance was identified","When allergy or intolerance was identified","","MyHealth@EU, ISO IPS","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.onsetDate",0,1,"",""
"EHDSAllergyIntolerance.endDate","EHDSAllergyIntolerance.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)","","eHN PS Guideline, MyHealth@EU, ISO IPS","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.endDate",0,1,"",""
"EHDSAllergyIntolerance.reaction","EHDSAllergyIntolerance.reaction","","","",0,*,"","","","Base {[]} {[]}
","Adverse reaction events linked to exposure to substance.","Adverse reaction events linked to exposure to substance.","","ISO IPS (explicit), implicitly in eHN PS Guideline, MH@EU","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction",0,*,"",""
"EHDSAllergyIntolerance.reaction.agentOrAllergen","EHDSAllergyIntolerance.reaction.agentOrAllergen","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Specific substance or pharmaceutical product considered to be responsible for event","Identification of the specific substance (or pharmaceutical product) considered to be responsible for the 
  Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified  as the cause of the risk, but it must be consistent with it.  
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.","","","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction.agentOrAllergen",0,1,"",""
"EHDSAllergyIntolerance.reaction.manifestation","EHDSAllergyIntolerance.reaction.manifestation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).","Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).","","The element is present in eHN PS GL, MyHealth@EU specifications and ISO IPS. Element name and description is taken from eHN PS GL. Cardinality in MyHealth@EU for this element, used here, is one manifestation per severity and onset, while the cardinality in FHIR IPS IG allows multiple manifestations per severity and onset.","","","","","","","",,"preferred","ICD-10, SNOMED CT","","",,,,"EHDSAllergyIntolerance.reaction.manifestation",0,*,"",""
"EHDSAllergyIntolerance.reaction.severity","EHDSAllergyIntolerance.reaction.severity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Severity of the clinical manifestation of the allergic reaction.","Severity of the clinical manifestation of the allergic reaction.","","The element is present in eHN PS GL, MyHealth@EU specifications and ISO IPS. Element name and description is taken from eHN PS GL.","","","","","","","",,"preferred","SNOMED CT, HL7 reaction event severity","","",,,,"EHDSAllergyIntolerance.reaction.severity",0,1,"",""
"EHDSAllergyIntolerance.reaction.onset","EHDSAllergyIntolerance.reaction.onset","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the onset of the reaction","Date and time of the onset of the reaction","","The element is present in eHN PS GL. Element name and description is taken from eHN PS GL.","","","","","","","",,,,,"",,,,"EHDSAllergyIntolerance.reaction.onset",0,1,"",""
