"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSReportHeader","EHDSReportHeader","","","",0,*,"","","","null {[]} {[]}
","Report header model","EHDS refined base model for Report header data elements. Common for hospital discharge, laboratory and medical imaging reports.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSReportHeader.subject","EHDSReportHeader.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","A.1.1 - Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.subject",1,1,"",""
"EHDSReportHeader.healthInsuranceAndPaymentInformation","EHDSReportHeader.healthInsuranceAndPaymentInformation","","","",0,1,"","","","Base {[]} {[]}
","A.1.4 - Health insurance and payment information","Health insurance information (Health insurance information is not always required, however, in some jurisdictions, the insurance number is also used as the patient identifier. It is necessary not just for identification but also forms access to funding for care.)","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.healthInsuranceAndPaymentInformation",0,1,"",""
"EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceCode","EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceCode","","","",0,1,"","","","Identifier {[]} {[]}
","A.1.4.1 - Health insurance code","Unique health insurance company identification code","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceCode",0,1,"",""
"EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceName","EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceName","","","",0,1,"","","","string {[]} {[]}
","A.1.4.2 - Health insurance name","Full, official name of the healthcare insurance provider.","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceName",0,1,"",""
"EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceNumber","EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceNumber","","","",0,1,"","","","Identifier {[]} {[]}
","A.1.4.3 - Health insurance number","Number or code under which the insured person is registered at the insurance provider.","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.healthInsuranceAndPaymentInformation.healthInsuranceNumber",0,1,"",""
"EHDSReportHeader.intendedRecipient[x]","EHDSReportHeader.intendedRecipient[x]","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSRelatedPerson {[]} {[]}","A.1.5 - Intended recipient","Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.intendedRecipient[x]",0,*,"",""
"EHDSReportHeader.authorship","EHDSReportHeader.authorship","","","",1,*,"","","","Base {[]} {[]}
","A.1.6 - Authorship","Document authoring details","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.authorship",1,*,"",""
"EHDSReportHeader.authorship.author","EHDSReportHeader.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.6.1 - Author","Author by whom the document was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.authorship.author",1,1,"",""
"EHDSReportHeader.authorship.datetime","EHDSReportHeader.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.6.2 - DateTime","Date and time of the last modification of the document by its Author.","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.authorship.datetime",1,1,"",""
"EHDSReportHeader.attestation","EHDSReportHeader.attestation","","","",0,*,"","","","Base {[]} {[]}
","A.1.7 - Attestation","Document attestation details","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.attestation",0,*,"",""
"EHDSReportHeader.attestation.attester","EHDSReportHeader.attestation.attester","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","A.1.7.1 - Attester","Attester who validated the document. Mulitple attesters could be provided.","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.attestation.attester",1,1,"",""
"EHDSReportHeader.attestation.datetime","EHDSReportHeader.attestation.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","A.1.7.2 - DateTime","Date and time of the approval of the document by Attester.","","","","","","","","","",,,,,"",,,,"EHDSReportHeader.attestation.datetime",1,1,"",""
