Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	28387	-	0	0	0	0	0	0	5	78	0	0	0	0	0	0	0	1	0	0	120	151	0	0	0	4	0	0
fsh-generated/resources/ActorDefinition-actor-dispensing-system.json	226	8	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-actor-ehr-system.json	205	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-ncp-system.json	205	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-actor-prescribing-system.json	235	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	4	0	9	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	29	716	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Coded.json	1123	4	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	33	156	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4038	6	0	15	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	46	178	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAlertFlag.json	6056	6	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	60	177	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	9615	7	0	17	1	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	83	273	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAppointment.json	11934	7	0	18	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	101	194	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	5650	6	0	15	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	86	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachments.json	1890	3	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	59	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	7753	5	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	65	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSClinicalImpression.json	8939	6	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	80	130	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-EHDSCommonHeader.json	4567	4	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	50	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9329	6	0	16	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	76	140	0	0	0	2	0	0
