Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	13461	-	0	0	0	0	0	0	9	120	0	0	0	0	0	0	0	1	0	0	68	85	0	1	0	6	0	1
fsh-generated/resources/ActorDefinition-SummaryConsumer.json	138	16	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SummaryProvider.json	138	15	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	17	0	9	0	0	1	0	0	55	0	0	0	0	0	0	0	0	0	0	64	786	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	5980	13	0	36	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	72	321	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	13	0	15	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	60	124	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	7117	15	0	19	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	86	196	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	6051	16	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	78	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5094	15	0	20	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	50	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	3323	16	0	18	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	37	109	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	15	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	9565	16	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	90	159	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	13	0	23	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	161	209	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	5454	3	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	44	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3325	3	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunization.json	5040	4	0	18	1	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	53	105	0	0	0	2	0	1
