Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-eu.ehds.models.json	21155	-	0	0	0	0	0	0	13	84	0	0	0	0	0	0	0	1	0	0	83	135	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4192	12	0	9	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	56	790	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5183	7	0	35	0	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	64	351	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4142	5	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	54	268	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	10789	7	0	23	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	84	238	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3912	5	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	39	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3856	5	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	42	94	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4218	5	0	23	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	60	105	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	9596	7	0	22	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	84	149	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3904	5	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3652	4	0	20	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	42	90	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5570	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	62	74	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5152	6	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	5677	5	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	70	108	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDischargeReport.json	73859	23	0	128	1	0	0	0	0	109	0	0	0	0	0	0	0	1	0	0	568	448	0	0	0	20	1	1
fsh-generated/resources/StructureDefinition-EHDSDispenseDecline.json	3071	5	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	51	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	8379	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	98	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDosage.json	2754	5	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	53	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDosaging.json	18269	8	0	13	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	190	138	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-EHDSEncounter.json	12444	7	0	13	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	157	119	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSEndpoint.json	6033	5	0	10	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	78	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSEpisodeOfCare.json	4616	3	0	8	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	77	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSFamilyMemberHistory.json	3904	3	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	51	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSFunctionalStatus.json	6416	4	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	64	83	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	6499	5	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	51	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSHumanName.json	3223	4	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	36	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSImagingReport.json	30433	9	0	25	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	245	331	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-EHDSImagingStudy.json	15073	7	0	12	1	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	117	189	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSImmunisation.json	4837	5	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	52	130	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSInfectiousContact.json	4007	4	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	125	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryObservation.json	4015	4	0	30	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	65	195	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSLaboratoryReport.json	16166	6	0	11	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	155	236	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-EHDSLocation.json	4027	5	0	3	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	38	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSMedia.json	6504	5	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	64	133	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedication.json	15939	7	0	9	0	0	0	0	0	96	0	0	0	0	0	0	0	1	0	0	148	196	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationAdministration.json	4479	4	0	8	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	60	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationDispense.json	7274	4	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	75	117	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSMedicationPrescription.json	18917	8	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	170	190	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSMedicationStatement.json	5417	4	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	48	104	0	0	0	2	0	0
