"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSLaboratoryReport","EHDSLaboratoryReport","","","",0,*,"","","","null {[]} {[]}
","Laboratory report model","A - EHDS refined base model for Laboratory result report","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSLaboratoryReport.header","EHDSLaboratoryReport.header","","","",1,*,"","","","Base {[]} {[]}
","A.1 - Laboratory report header","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,*,"",""
"EHDSLaboratoryReport.header.subject","EHDSLaboratoryReport.header.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSLaboratoryReport.header.identifier","EHDSLaboratoryReport.header.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Document ID","Unique identifier of the document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSLaboratoryReport.header.authorship","EHDSLaboratoryReport.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSLaboratoryReport.header.authorship.author[x]","EHDSLaboratoryReport.header.authorship.author[x]","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSOrganization {[]} {[]}https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDevice {[]} {[]}","Author","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSLaboratoryReport.header.authorship.datetime","EHDSLaboratoryReport.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSLaboratoryReport.header.lastUpdate","EHDSLaboratoryReport.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSLaboratoryReport.header.status","EHDSLaboratoryReport.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSLaboratoryReport.header.statusReason[x]","EHDSLaboratoryReport.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSLaboratoryReport.header.language","EHDSLaboratoryReport.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSLaboratoryReport.header.version","EHDSLaboratoryReport.header.version","","","",0,1,"","","","string {[]} {[]}
","Version","Business version of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.version",0,1,"",""
