"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSPatientSummaryBody","EHDSPatientSummaryBody","","","",0,*,"","","","null {[]} {[]}
","Patient summary body model","B.1 - EHDS refined base model for Patient Summary body data elements","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSPatientSummaryBody.alerts","EHDSPatientSummaryBody.alerts","","","",1,1,"","","","Base {[]} {[]}
","B.1.1 - Alerts","Alert section includes information about allergies, intolerances and other substantial alerts or warnings that health professionals should be aware of.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts",1,1,"",""
"EHDSPatientSummaryBody.alerts.sectionNarative","EHDSPatientSummaryBody.alerts.sectionNarative","","","",0,1,"","","","string {[]} {[]}
","B.1.1.1 - Section narative","Narative content of the section. This narative shell containing either narative description of both allergy and alerts, or similar narative sub-section elements shell be provided.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.sectionNarative",0,1,"",""
"EHDSPatientSummaryBody.alerts.allergy","EHDSPatientSummaryBody.alerts.allergy","","","",1,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAllergyIntolerance {[]} {[]}
","B.1.1.2 - Allergy","A record of allergies and intolerances.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.allergy",1,*,"",""
"EHDSPatientSummaryBody.alerts.medicalAlert","EHDSPatientSummaryBody.alerts.medicalAlert","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSAlertFlag {[]} {[]}
","B.1.1.3 - Medical alert","Medical alert information (other alerts not included in allergies).","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.alerts.medicalAlert",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory","EHDSPatientSummaryBody.medicalHistory","","","",1,1,"","","","Base {[]} {[]}
","B.1.2 - Medical history","Medical history section.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory",1,1,"",""
"EHDSPatientSummaryBody.medicalHistory.sectionNarative","EHDSPatientSummaryBody.medicalHistory.sectionNarative","","","",0,1,"","","","string {[]} {[]}
","B.1.2.1 - Section narative","Narative content of the section. This narative shell containing either narative description of al subsections, or similar narative sub-section elements shell be provided. This will be the preferred way.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.sectionNarative",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.vaccinationSection","EHDSPatientSummaryBody.medicalHistory.vaccinationSection","","","",0,1,"","","","Base {[]} {[]}
","B.1.2.2 - Vaccination section","Vaccination history subsection.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.vaccinationSection",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.vaccinationSection.subsectionNarative","EHDSPatientSummaryBody.medicalHistory.vaccinationSection.subsectionNarative","","","",0,1,"","","","string {[]} {[]}
","B.1.2.2.1 - Subsection narative","Narative content of the section.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.vaccinationSection.subsectionNarative",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.vaccinationSection.vaccination","EHDSPatientSummaryBody.medicalHistory.vaccinationSection.vaccination","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSImmunization {[]} {[]}
","B.1.2.2.2 - Vaccination","Vaccination / prophylaxis information.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.vaccinationSection.vaccination",0,*,"",""
"EHDSPatientSummaryBody.medicalHistory.pastProblemsSection","EHDSPatientSummaryBody.medicalHistory.pastProblemsSection","","","",0,1,"","","","Base {[]} {[]}
","B.1.2.3 - Past problems section","Problems history subsection.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.pastProblemsSection",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.pastProblemsSection.subsectionNarative","EHDSPatientSummaryBody.medicalHistory.pastProblemsSection.subsectionNarative","","","",0,1,"","","","string {[]} {[]}
","B.1.2.3.1 - Subsection narative","Narative content of the subsection.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.pastProblemsSection.subsectionNarative",0,1,"",""
"EHDSPatientSummaryBody.medicalHistory.pastProblemsSection.pastProblems","EHDSPatientSummaryBody.medicalHistory.pastProblemsSection.pastProblems","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSCondition {[]} {[]}
","B.1.2.3.2 - Past problems","Resolved, closed or inactive problems.","","","","","","","","","",,,,,"",,,,"EHDSPatientSummaryBody.medicalHistory.pastProblemsSection.pastProblems",0,*,"",""
